Force (N),Position (mm),Stress (MPa),Strain (%),Infill%,Infill Type,Mesh Type,Number of mesh layer,Base Material
43.9,0.00737,0.374,411.0,15,3D,Steel,Double,PLA
44.5,0.00747,0.38,417.0,15,3D,Steel,Double,PLA
45.1,0.00758,0.385,422.0,15,3D,Steel,Double,PLA
45.6,0.00769,0.39,427.0,15,3D,Steel,Double,PLA
46.1,0.00779,0.396,432.0,15,3D,Steel,Double,PLA
46.7,0.0079,0.401,437.0,15,3D,Steel,Double,PLA
47.2,0.008,0.407,442.0,15,3D,Steel,Double,PLA
47.8,0.00811,0.412,447.0,15,3D,Steel,Double,PLA
48.3,0.00822,0.417,452.0,15,3D,Steel,Double,PLA
48.8,0.00832,0.423,457.0,15,3D,Steel,Double,PLA
49.4,0.00843,0.428,462.0,15,3D,Steel,Double,PLA
49.9,0.00853,0.434,467.0,15,3D,Steel,Double,PLA
50.4,0.00864,0.439,472.0,15,3D,Steel,Double,PLA
50.8,0.00874,0.444,476.0,15,3D,Steel,Double,PLA
51.4,0.00885,0.45,481.0,15,3D,Steel,Double,PLA
52.0,0.00896,0.455,487.0,15,3D,Steel,Double,PLA
52.4,0.00906,0.46,491.0,15,3D,Steel,Double,PLA
53.0,0.00917,0.466,496.0,15,3D,Steel,Double,PLA
53.4,0.00927,0.471,500.0,15,3D,Steel,Double,PLA
54.0,0.00938,0.476,505.0,15,3D,Steel,Double,PLA
54.5,0.00949,0.482,511.0,15,3D,Steel,Double,PLA
55.1,0.00959,0.487,516.0,15,3D,Steel,Double,PLA
55.6,0.0097,0.493,521.0,15,3D,Steel,Double,PLA
56.0,0.0098,0.498,524.0,15,3D,Steel,Double,PLA
56.6,0.00991,0.503,530.0,15,3D,Steel,Double,PLA
57.1,0.01,0.509,534.0,15,3D,Steel,Double,PLA
57.6,0.0101,0.514,539.0,15,3D,Steel,Double,PLA
58.1,0.0102,0.52,544.0,15,3D,Steel,Double,PLA
58.6,0.0103,0.525,549.0,15,3D,Steel,Double,PLA
59.1,0.0104,0.531,554.0,15,3D,Steel,Double,PLA
59.6,0.0106,0.536,558.0,15,3D,Steel,Double,PLA
60.1,0.0107,0.541,563.0,15,3D,Steel,Double,PLA
60.7,0.0108,0.547,568.0,15,3D,Steel,Double,PLA
61.1,0.0109,0.552,573.0,15,3D,Steel,Double,PLA
61.7,0.011,0.558,578.0,15,3D,Steel,Double,PLA
62.2,0.0111,0.563,582.0,15,3D,Steel,Double,PLA
62.7,0.0112,0.568,587.0,15,3D,Steel,Double,PLA
63.1,0.0113,0.574,591.0,15,3D,Steel,Double,PLA
63.7,0.0114,0.579,596.0,15,3D,Steel,Double,PLA
64.1,0.0115,0.584,601.0,15,3D,Steel,Double,PLA
64.6,0.0116,0.59,605.0,15,3D,Steel,Double,PLA
65.2,0.0117,0.595,610.0,15,3D,Steel,Double,PLA
65.6,0.0118,0.6,614.0,15,3D,Steel,Double,PLA
66.1,0.0119,0.606,619.0,15,3D,Steel,Double,PLA
66.6,0.012,0.611,624.0,15,3D,Steel,Double,PLA
67.1,0.0121,0.617,628.0,15,3D,Steel,Double,PLA
67.6,0.0122,0.622,633.0,15,3D,Steel,Double,PLA
68.0,0.0123,0.627,637.0,15,3D,Steel,Double,PLA
68.6,0.0125,0.633,642.0,15,3D,Steel,Double,PLA
69.0,0.0126,0.638,646.0,15,3D,Steel,Double,PLA
69.5,0.0127,0.644,651.0,15,3D,Steel,Double,PLA
70.0,0.0128,0.649,656.0,15,3D,Steel,Double,PLA
70.5,0.0129,0.654,660.0,15,3D,Steel,Double,PLA
70.9,0.013,0.66,664.0,15,3D,Steel,Double,PLA
71.5,0.0131,0.665,670.0,15,3D,Steel,Double,PLA
72.0,0.0132,0.671,674.0,15,3D,Steel,Double,PLA
72.5,0.0133,0.676,679.0,15,3D,Steel,Double,PLA
72.9,0.0134,0.681,682.0,15,3D,Steel,Double,PLA
73.4,0.0135,0.687,687.0,15,3D,Steel,Double,PLA
73.9,0.0136,0.692,692.0,15,3D,Steel,Double,PLA
74.4,0.0137,0.698,697.0,15,3D,Steel,Double,PLA
74.8,0.0138,0.703,701.0,15,3D,Steel,Double,PLA
75.3,0.0139,0.709,705.0,15,3D,Steel,Double,PLA
75.8,0.0141,0.714,710.0,15,3D,Steel,Double,PLA
76.3,0.0142,0.719,715.0,15,3D,Steel,Double,PLA
76.7,0.0143,0.725,718.0,15,3D,Steel,Double,PLA
77.2,0.0144,0.73,723.0,15,3D,Steel,Double,PLA
