Force (N),Position (mm),Stress (MPa),Strain (%),InFill %,InFill Type,Mesh Type,No of Mesh Layers,Base Material
629,0.996,9.13,1.99,15,Hex,Without mesh,0,PTA
631,0.998,9.16,2,15,Hex,Without mesh,0,PTA
632,1,9.17,2,15,Hex,Without mesh,0,PTA
633,1,9.19,2.01,15,Hex,Without mesh,0,PTA
635,1.01,9.21,2.01,15,Hex,Without mesh,0,PTA
636,1.01,9.23,2.02,15,Hex,Without mesh,0,PTA
637,1.01,9.25,2.02,15,Hex,Without mesh,0,PTA
639,1.01,9.28,2.03,15,Hex,Without mesh,0,PTA
640,1.02,9.28,2.03,15,Hex,Without mesh,0,PTA
642,1.02,9.32,2.04,15,Hex,Without mesh,0,PTA
643,1.02,9.33,2.04,15,Hex,Without mesh,0,PTA
645,1.02,9.35,2.05,15,Hex,Without mesh,0,PTA
645,1.03,9.36,2.05,15,Hex,Without mesh,0,PTA
647,1.03,9.4,2.06,15,Hex,Without mesh,0,PTA
648,1.03,9.4,2.06,15,Hex,Without mesh,0,PTA
650,1.03,9.43,2.07,15,Hex,Without mesh,0,PTA
651,1.04,9.45,2.07,15,Hex,Without mesh,0,PTA
652,1.04,9.47,2.08,15,Hex,Without mesh,0,PTA
654,1.04,9.49,2.08,15,Hex,Without mesh,0,PTA
655,1.04,9.5,2.09,15,Hex,Without mesh,0,PTA
656,1.05,9.52,2.09,15,Hex,Without mesh,0,PTA
657,1.05,9.54,2.1,15,Hex,Without mesh,0,PTA
659,1.05,9.56,2.1,15,Hex,Without mesh,0,PTA
660,1.05,9.58,2.11,15,Hex,Without mesh,0,PTA
661,1.06,9.6,2.11,15,Hex,Without mesh,0,PTA
663,1.06,9.62,2.12,15,Hex,Without mesh,0,PTA
664,1.06,9.63,2.12,15,Hex,Without mesh,0,PTA
665,1.06,9.66,2.13,15,Hex,Without mesh,0,PTA
667,1.07,9.67,2.13,15,Hex,Without mesh,0,PTA
668,1.07,9.69,2.14,15,Hex,Without mesh,0,PTA
669,1.07,9.71,2.14,15,Hex,Without mesh,0,PTA
670,1.07,9.73,2.15,15,Hex,Without mesh,0,PTA
671,1.08,9.75,2.15,15,Hex,Without mesh,0,PTA
673,1.08,9.77,2.16,15,Hex,Without mesh,0,PTA
675,1.08,9.79,2.16,15,Hex,Without mesh,0,PTA
676,1.08,9.81,2.17,15,Hex,Without mesh,0,PTA
677,1.09,9.82,2.17,15,Hex,Without mesh,0,PTA
678,1.09,9.84,2.18,15,Hex,Without mesh,0,PTA
680,1.09,9.87,2.18,15,Hex,Without mesh,0,PTA
681,1.09,9.88,2.19,15,Hex,Without mesh,0,PTA
682,1.1,9.9,2.19,15,Hex,Without mesh,0,PTA
683,1.1,9.92,2.2,15,Hex,Without mesh,0,PTA
685,1.1,9.94,2.2,15,Hex,Without mesh,0,PTA
686,1.1,9.96,2.21,15,Hex,Without mesh,0,PTA
687,1.11,9.97,2.21,15,Hex,Without mesh,0,PTA
689,1.11,10,2.22,15,Hex,Without mesh,0,PTA
690,1.11,10,2.22,15,Hex,Without mesh,0,PTA
691,1.11,10,2.23,15,Hex,Without mesh,0,PTA
693,1.12,10.1,2.23,15,Hex,Without mesh,0,PTA
694,1.12,10.1,2.24,15,Hex,Without mesh,0,PTA
695,1.12,10.1,2.24,15,Hex,Without mesh,0,PTA
696,1.12,10.1,2.25,15,Hex,Without mesh,0,PTA
698,1.13,10.1,2.25,15,Hex,Without mesh,0,PTA
699,1.13,10.1,2.26,15,Hex,Without mesh,0,PTA
700,1.13,10.2,2.26,15,Hex,Without mesh,0,PTA
701,1.13,10.2,2.27,15,Hex,Without mesh,0,PTA
703,1.14,10.2,2.27,15,Hex,Without mesh,0,PTA
704,1.14,10.2,2.28,15,Hex,Without mesh,0,PTA
705,1.14,10.2,2.28,15,Hex,Without mesh,0,PTA
707,1.14,10.3,2.29,15,Hex,Without mesh,0,PTA
708,1.15,10.3,2.29,15,Hex,Without mesh,0,PTA
709,1.15,10.3,2.3,15,Hex,Without mesh,0,PTA
710,1.15,10.3,2.3,15,Hex,Without mesh,0,PTA
712,1.15,10.3,2.31,15,Hex,Without mesh,0,PTA
713,1.16,10.4,2.31,15,Hex,Without mesh,0,PTA
714,1.16,10.4,2.32,15,Hex,Without mesh,0,PTA
715,1.16,10.4,2.32,15,Hex,Without mesh,0,PTA
717,1.16,10.4,2.33,15,Hex,Without mesh,0,PTA
718,1.17,10.4,2.33,15,Hex,Without mesh,0,PTA
719,1.17,10.4,2.34,15,Hex,Without mesh,0,PTA
720,1.17,10.5,2.34,15,Hex,Without mesh,0,PTA
722,1.17,10.5,2.35,15,Hex,Without mesh,0,PTA
723,1.18,10.5,2.35,15,Hex,Without mesh,0,PTA
724,1.18,10.5,2.36,15,Hex,Without mesh,0,PTA
725,1.18,10.5,2.36,15,Hex,Without mesh,0,PTA
726,1.18,10.5,2.37,15,Hex,Without mesh,0,PTA
727,1.19,10.6,2.37,15,Hex,Without mesh,0,PTA
728,1.19,10.6,2.38,15,Hex,Without mesh,0,PTA
730,1.19,10.6,2.38,15,Hex,Without mesh,0,PTA
731,1.19,10.6,2.39,15,Hex,Without mesh,0,PTA
732,1.2,10.6,2.39,15,Hex,Without mesh,0,PTA
733,1.2,10.6,2.4,15,Hex,Without mesh,0,PTA
735,1.2,10.7,2.4,15,Hex,Without mesh,0,PTA
736,1.2,10.7,2.41,15,Hex,Without mesh,0,PTA
737,1.21,10.7,2.41,15,Hex,Without mesh,0,PTA
738,1.21,10.7,2.42,15,Hex,Without mesh,0,PTA
739,1.21,10.7,2.42,15,Hex,Without mesh,0,PTA
741,1.21,10.7,2.43,15,Hex,Without mesh,0,PTA
741,1.22,10.8,2.43,15,Hex,Without mesh,0,PTA
743,1.22,10.8,2.44,15,Hex,Without mesh,0,PTA
744,1.22,10.8,2.44,15,Hex,Without mesh,0,PTA
745,1.22,10.8,2.45,15,Hex,Without mesh,0,PTA
746,1.23,10.8,2.45,15,Hex,Without mesh,0,PTA
747,1.23,10.8,2.46,15,Hex,Without mesh,0,PTA
748,1.23,10.9,2.46,15,Hex,Without mesh,0,PTA
749,1.23,10.9,2.47,15,Hex,Without mesh,0,PTA
751,1.24,10.9,2.47,15,Hex,Without mesh,0,PTA
752,1.24,10.9,2.48,15,Hex,Without mesh,0,PTA
753,1.24,10.9,2.48,15,Hex,Without mesh,0,PTA
754,1.24,10.9,2.49,15,Hex,Without mesh,0,PTA
755,1.25,11,2.49,15,Hex,Without mesh,0,PTA
756,1.25,11,2.5,15,Hex,Without mesh,0,PTA
757,1.25,11,2.5,15,Hex,Without mesh,0,PTA
758,1.25,11,2.51,15,Hex,Without mesh,0,PTA
760,1.26,11,2.51,15,Hex,Without mesh,0,PTA
760,1.26,11,2.52,15,Hex,Without mesh,0,PTA
762,1.26,11.1,2.52,15,Hex,Without mesh,0,PTA
763,1.26,11.1,2.53,15,Hex,Without mesh,0,PTA
764,1.27,11.1,2.53,15,Hex,Without mesh,0,PTA
765,1.27,11.1,2.54,15,Hex,Without mesh,0,PTA
766,1.27,11.1,2.54,15,Hex,Without mesh,0,PTA
767,1.28,11.1,2.55,15,Hex,Without mesh,0,PTA
769,1.28,11.2,2.56,15,Hex,Without mesh,0,PTA
769,1.28,11.2,2.56,15,Hex,Without mesh,0,PTA
770,1.28,11.2,2.56,15,Hex,Without mesh,0,PTA
771,1.29,11.2,2.57,15,Hex,Without mesh,0,PTA
772,1.29,11.2,2.58,15,Hex,Without mesh,0,PTA
774,1.29,11.2,2.58,15,Hex,Without mesh,0,PTA
775,1.29,11.2,2.59,15,Hex,Without mesh,0,PTA
775,1.3,11.3,2.59,15,Hex,Without mesh,0,PTA
777,1.3,11.3,2.6,15,Hex,Without mesh,0,PTA
777,1.3,11.3,2.6,15,Hex,Without mesh,0,PTA
779,1.3,11.3,2.61,15,Hex,Without mesh,0,PTA
780,1.31,11.3,2.61,15,Hex,Without mesh,0,PTA
781,1.31,11.3,2.62,15,Hex,Without mesh,0,PTA
782,1.31,11.4,2.62,15,Hex,Without mesh,0,PTA
783,1.31,11.4,2.63,15,Hex,Without mesh,0,PTA
784,1.32,11.4,2.63,15,Hex,Without mesh,0,PTA
785,1.32,11.4,2.64,15,Hex,Without mesh,0,PTA
786,1.32,11.4,2.64,15,Hex,Without mesh,0,PTA
787,1.32,11.4,2.65,15,Hex,Without mesh,0,PTA
788,1.33,11.4,2.65,15,Hex,Without mesh,0,PTA
790,1.33,11.5,2.66,15,Hex,Without mesh,0,PTA
790,1.33,11.5,2.66,15,Hex,Without mesh,0,PTA
791,1.33,11.5,2.67,15,Hex,Without mesh,0,PTA
792,1.34,11.5,2.67,15,Hex,Without mesh,0,PTA
793,1.34,11.5,2.68,15,Hex,Without mesh,0,PTA
795,1.34,11.5,2.68,15,Hex,Without mesh,0,PTA
795,1.34,11.5,2.69,15,Hex,Without mesh,0,PTA
796,1.35,11.5,2.69,15,Hex,Without mesh,0,PTA
797,1.35,11.6,2.7,15,Hex,Without mesh,0,PTA
798,1.35,11.6,2.7,15,Hex,Without mesh,0,PTA
799,1.35,11.6,2.71,15,Hex,Without mesh,0,PTA
800,1.36,11.6,2.71,15,Hex,Without mesh,0,PTA
801,1.36,11.6,2.72,15,Hex,Without mesh,0,PTA
802,1.36,11.6,2.72,15,Hex,Without mesh,0,PTA
803,1.36,11.7,2.73,15,Hex,Without mesh,0,PTA
804,1.37,11.7,2.73,15,Hex,Without mesh,0,PTA
805,1.37,11.7,2.74,15,Hex,Without mesh,0,PTA
806,1.37,11.7,2.74,15,Hex,Without mesh,0,PTA
807,1.37,11.7,2.75,15,Hex,Without mesh,0,PTA
808,1.38,11.7,2.75,15,Hex,Without mesh,0,PTA
809,1.38,11.7,2.76,15,Hex,Without mesh,0,PTA
810,1.38,11.7,2.76,15,Hex,Without mesh,0,PTA
811,1.38,11.8,2.77,15,Hex,Without mesh,0,PTA
811,1.39,11.8,2.77,15,Hex,Without mesh,0,PTA
813,1.39,11.8,2.78,15,Hex,Without mesh,0,PTA
813,1.39,11.8,2.78,15,Hex,Without mesh,0,PTA
814,1.39,11.8,2.79,15,Hex,Without mesh,0,PTA
815,1.4,11.8,2.79,15,Hex,Without mesh,0,PTA
816,1.4,11.8,2.8,15,Hex,Without mesh,0,PTA
817,1.4,11.9,2.8,15,Hex,Without mesh,0,PTA
818,1.4,11.9,2.81,15,Hex,Without mesh,0,PTA
819,1.41,11.9,2.81,15,Hex,Without mesh,0,PTA
820,1.41,11.9,2.82,15,Hex,Without mesh,0,PTA
821,1.41,11.9,2.82,15,Hex,Without mesh,0,PTA
822,1.41,11.9,2.83,15,Hex,Without mesh,0,PTA
823,1.42,11.9,2.83,15,Hex,Without mesh,0,PTA
823,1.42,11.9,2.84,15,Hex,Without mesh,0,PTA
825,1.42,12,2.84,15,Hex,Without mesh,0,PTA
825,1.42,12,2.85,15,Hex,Without mesh,0,PTA
826,1.43,12,2.85,15,Hex,Without mesh,0,PTA
827,1.43,12,2.86,15,Hex,Without mesh,0,PTA
828,1.43,12,2.86,15,Hex,Without mesh,0,PTA
829,1.43,12,2.87,15,Hex,Without mesh,0,PTA
830,1.44,12,2.87,15,Hex,Without mesh,0,PTA
831,1.44,12.1,2.88,15,Hex,Without mesh,0,PTA
831,1.44,12.1,2.88,15,Hex,Without mesh,0,PTA
832,1.44,12.1,2.89,15,Hex,Without mesh,0,PTA
833,1.45,12.1,2.89,15,Hex,Without mesh,0,PTA
835,1.45,12.1,2.9,15,Hex,Without mesh,0,PTA
835,1.45,12.1,2.9,15,Hex,Without mesh,0,PTA
836,1.45,12.1,2.91,15,Hex,Without mesh,0,PTA
837,1.46,12.1,2.91,15,Hex,Without mesh,0,PTA
837,1.46,12.2,2.92,15,Hex,Without mesh,0,PTA
839,1.46,12.2,2.92,15,Hex,Without mesh,0,PTA
839,1.46,12.2,2.93,15,Hex,Without mesh,0,PTA
840,1.47,12.2,2.93,15,Hex,Without mesh,0,PTA
841,1.47,12.2,2.94,15,Hex,Without mesh,0,PTA
841,1.47,12.2,2.94,15,Hex,Without mesh,0,PTA
843,1.47,12.2,2.95,15,Hex,Without mesh,0,PTA
843,1.48,12.2,2.95,15,Hex,Without mesh,0,PTA
844,1.48,12.3,2.96,15,Hex,Without mesh,0,PTA
845,1.48,12.3,2.96,15,Hex,Without mesh,0,PTA
846,1.48,12.3,2.97,15,Hex,Without mesh,0,PTA
847,1.49,12.3,2.97,15,Hex,Without mesh,0,PTA
848,1.49,12.3,2.98,15,Hex,Without mesh,0,PTA
848,1.49,12.3,2.98,15,Hex,Without mesh,0,PTA
850,1.49,12.3,2.99,15,Hex,Without mesh,0,PTA
850,1.5,12.3,2.99,15,Hex,Without mesh,0,PTA
851,1.5,12.4,3,15,Hex,Without mesh,0,PTA
852,1.5,12.4,3,15,Hex,Without mesh,0,PTA
853,1.5,12.4,3.01,15,Hex,Without mesh,0,PTA
854,1.51,12.4,3.01,15,Hex,Without mesh,0,PTA
854,1.51,12.4,3.02,15,Hex,Without mesh,0,PTA
855,1.51,12.4,3.02,15,Hex,Without mesh,0,PTA
856,1.51,12.4,3.03,15,Hex,Without mesh,0,PTA
857,1.52,12.4,3.03,15,Hex,Without mesh,0,PTA
858,1.52,12.4,3.04,15,Hex,Without mesh,0,PTA
858,1.52,12.5,3.04,15,Hex,Without mesh,0,PTA
859,1.52,12.5,3.05,15,Hex,Without mesh,0,PTA
860,1.53,12.5,3.05,15,Hex,Without mesh,0,PTA
861,1.53,12.5,3.06,15,Hex,Without mesh,0,PTA
862,1.53,12.5,3.06,15,Hex,Without mesh,0,PTA
862,1.53,12.5,3.07,15,Hex,Without mesh,0,PTA
863,1.54,12.5,3.07,15,Hex,Without mesh,0,PTA
864,1.54,12.5,3.08,15,Hex,Without mesh,0,PTA
865,1.54,12.5,3.08,15,Hex,Without mesh,0,PTA
865,1.54,12.6,3.09,15,Hex,Without mesh,0,PTA
866,1.55,12.6,3.09,15,Hex,Without mesh,0,PTA
867,1.55,12.6,3.1,15,Hex,Without mesh,0,PTA
868,1.55,12.6,3.1,15,Hex,Without mesh,0,PTA
868,1.55,12.6,3.11,15,Hex,Without mesh,0,PTA
869,1.56,12.6,3.11,15,Hex,Without mesh,0,PTA
870,1.56,12.6,3.12,15,Hex,Without mesh,0,PTA
870,1.56,12.6,3.12,15,Hex,Without mesh,0,PTA
871,1.56,12.6,3.13,15,Hex,Without mesh,0,PTA
872,1.57,12.7,3.13,15,Hex,Without mesh,0,PTA
873,1.57,12.7,3.14,15,Hex,Without mesh,0,PTA
874,1.57,12.7,3.14,15,Hex,Without mesh,0,PTA
874,1.57,12.7,3.15,15,Hex,Without mesh,0,PTA
875,1.58,12.7,3.15,15,Hex,Without mesh,0,PTA
876,1.58,12.7,3.16,15,Hex,Without mesh,0,PTA
876,1.58,12.7,3.16,15,Hex,Without mesh,0,PTA
877,1.58,12.7,3.17,15,Hex,Without mesh,0,PTA
878,1.59,12.7,3.17,15,Hex,Without mesh,0,PTA
878,1.59,12.7,3.18,15,Hex,Without mesh,0,PTA
879,1.59,12.8,3.18,15,Hex,Without mesh,0,PTA
880,1.59,12.8,3.19,15,Hex,Without mesh,0,PTA
880,1.6,12.8,3.19,15,Hex,Without mesh,0,PTA
881,1.6,12.8,3.2,15,Hex,Without mesh,0,PTA
882,1.6,12.8,3.2,15,Hex,Without mesh,0,PTA
883,1.6,12.8,3.21,15,Hex,Without mesh,0,PTA
884,1.61,12.8,3.21,15,Hex,Without mesh,0,PTA
884,1.61,12.8,3.22,15,Hex,Without mesh,0,PTA
885,1.61,12.8,3.22,15,Hex,Without mesh,0,PTA
885,1.61,12.9,3.23,15,Hex,Without mesh,0,PTA
887,1.62,12.9,3.23,15,Hex,Without mesh,0,PTA
887,1.62,12.9,3.24,15,Hex,Without mesh,0,PTA
888,1.62,12.9,3.24,15,Hex,Without mesh,0,PTA
888,1.62,12.9,3.25,15,Hex,Without mesh,0,PTA
889,1.63,12.9,3.25,15,Hex,Without mesh,0,PTA
890,1.63,12.9,3.26,15,Hex,Without mesh,0,PTA
890,1.63,12.9,3.26,15,Hex,Without mesh,0,PTA
891,1.63,12.9,3.27,15,Hex,Without mesh,0,PTA
892,1.64,12.9,3.27,15,Hex,Without mesh,0,PTA
892,1.64,13,3.28,15,Hex,Without mesh,0,PTA
893,1.64,13,3.28,15,Hex,Without mesh,0,PTA
894,1.64,13,3.29,15,Hex,Without mesh,0,PTA
894,1.65,13,3.29,15,Hex,Without mesh,0,PTA
895,1.65,13,3.3,15,Hex,Without mesh,0,PTA
896,1.65,13,3.3,15,Hex,Without mesh,0,PTA
897,1.65,13,3.31,15,Hex,Without mesh,0,PTA
897,1.66,13,3.31,15,Hex,Without mesh,0,PTA
898,1.66,13,3.32,15,Hex,Without mesh,0,PTA
898,1.66,13,3.32,15,Hex,Without mesh,0,PTA
899,1.66,13,3.33,15,Hex,Without mesh,0,PTA
900,1.67,13.1,3.33,15,Hex,Without mesh,0,PTA
900,1.67,13.1,3.34,15,Hex,Without mesh,0,PTA
901,1.67,13.1,3.34,15,Hex,Without mesh,0,PTA
901,1.67,13.1,3.35,15,Hex,Without mesh,0,PTA
902,1.68,13.1,3.35,15,Hex,Without mesh,0,PTA
903,1.68,13.1,3.36,15,Hex,Without mesh,0,PTA
904,1.68,13.1,3.36,15,Hex,Without mesh,0,PTA
904,1.68,13.1,3.37,15,Hex,Without mesh,0,PTA
905,1.69,13.1,3.37,15,Hex,Without mesh,0,PTA
905,1.69,13.1,3.38,15,Hex,Without mesh,0,PTA
906,1.69,13.1,3.38,15,Hex,Without mesh,0,PTA
906,1.69,13.2,3.39,15,Hex,Without mesh,0,PTA
907,1.7,13.2,3.39,15,Hex,Without mesh,0,PTA
907,1.7,13.2,3.4,15,Hex,Without mesh,0,PTA
908,1.7,13.2,3.4,15,Hex,Without mesh,0,PTA
909,1.7,13.2,3.41,15,Hex,Without mesh,0,PTA
909,1.71,13.2,3.41,15,Hex,Without mesh,0,PTA
910,1.71,13.2,3.42,15,Hex,Without mesh,0,PTA
910,1.71,13.2,3.43,15,Hex,Without mesh,0,PTA
911,1.71,13.2,3.43,15,Hex,Without mesh,0,PTA
912,1.72,13.2,3.44,15,Hex,Without mesh,0,PTA
912,1.72,13.2,3.44,15,Hex,Without mesh,0,PTA
912,1.72,13.2,3.45,15,Hex,Without mesh,0,PTA
913,1.72,13.3,3.45,15,Hex,Without mesh,0,PTA
914,1.73,13.3,3.45,15,Hex,Without mesh,0,PTA
914,1.73,13.3,3.46,15,Hex,Without mesh,0,PTA
915,1.73,13.3,3.47,15,Hex,Without mesh,0,PTA
915,1.74,13.3,3.47,15,Hex,Without mesh,0,PTA
916,1.74,13.3,3.48,15,Hex,Without mesh,0,PTA
916,1.74,13.3,3.48,15,Hex,Without mesh,0,PTA
917,1.74,13.3,3.49,15,Hex,Without mesh,0,PTA
917,1.75,13.3,3.49,15,Hex,Without mesh,0,PTA
918,1.75,13.3,3.5,15,Hex,Without mesh,0,PTA
918,1.75,13.3,3.5,15,Hex,Without mesh,0,PTA
919,1.75,13.3,3.51,15,Hex,Without mesh,0,PTA
919,1.76,13.3,3.51,15,Hex,Without mesh,0,PTA
920,1.76,13.4,3.52,15,Hex,Without mesh,0,PTA
920,1.76,13.4,3.52,15,Hex,Without mesh,0,PTA
921,1.76,13.4,3.53,15,Hex,Without mesh,0,PTA
921,1.77,13.4,3.53,15,Hex,Without mesh,0,PTA
922,1.77,13.4,3.54,15,Hex,Without mesh,0,PTA
922,1.77,13.4,3.54,15,Hex,Without mesh,0,PTA
923,1.77,13.4,3.55,15,Hex,Without mesh,0,PTA
923,1.78,13.4,3.55,15,Hex,Without mesh,0,PTA
924,1.78,13.4,3.56,15,Hex,Without mesh,0,PTA
924,1.78,13.4,3.56,15,Hex,Without mesh,0,PTA
925,1.78,13.4,3.57,15,Hex,Without mesh,0,PTA
925,1.79,13.4,3.57,15,Hex,Without mesh,0,PTA
926,1.79,13.4,3.58,15,Hex,Without mesh,0,PTA
926,1.79,13.4,3.58,15,Hex,Without mesh,0,PTA
927,1.79,13.5,3.59,15,Hex,Without mesh,0,PTA
927,1.8,13.5,3.59,15,Hex,Without mesh,0,PTA
928,1.8,13.5,3.6,15,Hex,Without mesh,0,PTA
928,1.8,13.5,3.6,15,Hex,Without mesh,0,PTA
929,1.8,13.5,3.61,15,Hex,Without mesh,0,PTA
929,1.81,13.5,3.61,15,Hex,Without mesh,0,PTA
929,1.81,13.5,3.62,15,Hex,Without mesh,0,PTA
930,1.81,13.5,3.62,15,Hex,Without mesh,0,PTA
930,1.81,13.5,3.63,15,Hex,Without mesh,0,PTA
931,1.82,13.5,3.63,15,Hex,Without mesh,0,PTA
931,1.82,13.5,3.64,15,Hex,Without mesh,0,PTA
931,1.82,13.5,3.64,15,Hex,Without mesh,0,PTA
932,1.82,13.5,3.65,15,Hex,Without mesh,0,PTA
932,1.83,13.5,3.65,15,Hex,Without mesh,0,PTA
932,1.83,13.5,3.66,15,Hex,Without mesh,0,PTA
933,1.83,13.5,3.66,15,Hex,Without mesh,0,PTA
933,1.83,13.5,3.67,15,Hex,Without mesh,0,PTA
934,1.84,13.6,3.67,15,Hex,Without mesh,0,PTA
934,1.84,13.6,3.68,15,Hex,Without mesh,0,PTA
935,1.84,13.6,3.68,15,Hex,Without mesh,0,PTA
935,1.84,13.6,3.69,15,Hex,Without mesh,0,PTA
936,1.85,13.6,3.69,15,Hex,Without mesh,0,PTA
936,1.85,13.6,3.7,15,Hex,Without mesh,0,PTA
936,1.85,13.6,3.7,15,Hex,Without mesh,0,PTA
937,1.85,13.6,3.71,15,Hex,Without mesh,0,PTA
937,1.86,13.6,3.71,15,Hex,Without mesh,0,PTA
937,1.86,13.6,3.72,15,Hex,Without mesh,0,PTA
938,1.86,13.6,3.72,15,Hex,Without mesh,0,PTA
938,1.86,13.6,3.73,15,Hex,Without mesh,0,PTA
938,1.87,13.6,3.73,15,Hex,Without mesh,0,PTA
939,1.87,13.6,3.74,15,Hex,Without mesh,0,PTA
939,1.87,13.6,3.74,15,Hex,Without mesh,0,PTA
939,1.87,13.6,3.75,15,Hex,Without mesh,0,PTA
940,1.88,13.6,3.75,15,Hex,Without mesh,0,PTA
940,1.88,13.6,3.76,15,Hex,Without mesh,0,PTA
940,1.88,13.6,3.76,15,Hex,Without mesh,0,PTA
940,1.88,13.6,3.77,15,Hex,Without mesh,0,PTA
941,1.89,13.7,3.77,15,Hex,Without mesh,0,PTA
941,1.89,13.7,3.78,15,Hex,Without mesh,0,PTA
942,1.89,13.7,3.78,15,Hex,Without mesh,0,PTA
942,1.89,13.7,3.79,15,Hex,Without mesh,0,PTA
942,1.9,13.7,3.79,15,Hex,Without mesh,0,PTA
942,1.9,13.7,3.8,15,Hex,Without mesh,0,PTA
942,1.9,13.7,3.8,15,Hex,Without mesh,0,PTA
943,1.9,13.7,3.81,15,Hex,Without mesh,0,PTA
943,1.91,13.7,3.81,15,Hex,Without mesh,0,PTA
943,1.91,13.7,3.82,15,Hex,Without mesh,0,PTA
943,1.91,13.7,3.82,15,Hex,Without mesh,0,PTA
944,1.91,13.7,3.83,15,Hex,Without mesh,0,PTA
944,1.92,13.7,3.83,15,Hex,Without mesh,0,PTA
944,1.92,13.7,3.84,15,Hex,Without mesh,0,PTA
944,1.92,13.7,3.84,15,Hex,Without mesh,0,PTA
944,1.92,13.7,3.85,15,Hex,Without mesh,0,PTA
945,1.93,13.7,3.85,15,Hex,Without mesh,0,PTA
945,1.93,13.7,3.86,15,Hex,Without mesh,0,PTA
945,1.93,13.7,3.86,15,Hex,Without mesh,0,PTA
946,1.93,13.7,3.87,15,Hex,Without mesh,0,PTA
946,1.94,13.7,3.87,15,Hex,Without mesh,0,PTA
946,1.94,13.7,3.88,15,Hex,Without mesh,0,PTA
946,1.94,13.7,3.88,15,Hex,Without mesh,0,PTA
947,1.94,13.7,3.89,15,Hex,Without mesh,0,PTA
947,1.95,13.7,3.89,15,Hex,Without mesh,0,PTA
947,1.95,13.7,3.9,15,Hex,Without mesh,0,PTA
947,1.95,13.7,3.9,15,Hex,Without mesh,0,PTA
947,1.95,13.7,3.91,15,Hex,Without mesh,0,PTA
947,1.96,13.7,3.91,15,Hex,Without mesh,0,PTA
947,1.96,13.8,3.92,15,Hex,Without mesh,0,PTA
948,1.96,13.8,3.92,15,Hex,Without mesh,0,PTA
948,1.96,13.8,3.93,15,Hex,Without mesh,0,PTA
948,1.97,13.8,3.93,15,Hex,Without mesh,0,PTA
948,1.97,13.8,3.94,15,Hex,Without mesh,0,PTA
948,1.97,13.8,3.94,15,Hex,Without mesh,0,PTA
948,1.97,13.8,3.95,15,Hex,Without mesh,0,PTA
949,1.98,13.8,3.95,15,Hex,Without mesh,0,PTA
949,1.98,13.8,3.96,15,Hex,Without mesh,0,PTA
949,1.98,13.8,3.96,15,Hex,Without mesh,0,PTA
949,1.98,13.8,3.97,15,Hex,Without mesh,0,PTA
949,1.99,13.8,3.97,15,Hex,Without mesh,0,PTA
950,1.99,13.8,3.98,15,Hex,Without mesh,0,PTA
950,1.99,13.8,3.98,15,Hex,Without mesh,0,PTA
950,1.99,13.8,3.99,15,Hex,Without mesh,0,PTA
950,2,13.8,3.99,15,Hex,Without mesh,0,PTA
950,2,13.8,4,15,Hex,Without mesh,0,PTA
950,2,13.8,4,15,Hex,Without mesh,0,PTA
951,2,13.8,4.01,15,Hex,Without mesh,0,PTA
951,2.01,13.8,4.01,15,Hex,Without mesh,0,PTA
951,2.01,13.8,4.02,15,Hex,Without mesh,0,PTA
951,2.01,13.8,4.02,15,Hex,Without mesh,0,PTA
951,2.01,13.8,4.03,15,Hex,Without mesh,0,PTA
951,2.02,13.8,4.03,15,Hex,Without mesh,0,PTA
951,2.02,13.8,4.04,15,Hex,Without mesh,0,PTA
951,2.02,13.8,4.04,15,Hex,Without mesh,0,PTA
951,2.02,13.8,4.05,15,Hex,Without mesh,0,PTA
952,2.03,13.8,4.05,15,Hex,Without mesh,0,PTA
952,2.03,13.8,4.06,15,Hex,Without mesh,0,PTA
952,2.03,13.8,4.06,15,Hex,Without mesh,0,PTA
952,2.03,13.8,4.07,15,Hex,Without mesh,0,PTA
952,2.04,13.8,4.07,15,Hex,Without mesh,0,PTA
952,2.04,13.8,4.08,15,Hex,Without mesh,0,PTA
952,2.04,13.8,4.08,15,Hex,Without mesh,0,PTA
952,2.04,13.8,4.09,15,Hex,Without mesh,0,PTA
952,2.05,13.8,4.09,15,Hex,Without mesh,0,PTA
952,2.05,13.8,4.1,15,Hex,Without mesh,0,PTA
952,2.05,13.8,4.1,15,Hex,Without mesh,0,PTA
953,2.05,13.8,4.11,15,Hex,Without mesh,0,PTA
953,2.06,13.8,4.11,15,Hex,Without mesh,0,PTA
953,2.06,13.8,4.12,15,Hex,Without mesh,0,PTA
953,2.06,13.8,4.12,15,Hex,Without mesh,0,PTA
953,2.06,13.8,4.13,15,Hex,Without mesh,0,PTA
953,2.07,13.8,4.13,15,Hex,Without mesh,0,PTA
954,2.07,13.8,4.14,15,Hex,Without mesh,0,PTA
953,2.07,13.8,4.14,15,Hex,Without mesh,0,PTA
953,2.07,13.8,4.15,15,Hex,Without mesh,0,PTA
953,2.08,13.8,4.15,15,Hex,Without mesh,0,PTA
953,2.08,13.8,4.16,15,Hex,Without mesh,0,PTA
953,2.08,13.8,4.16,15,Hex,Without mesh,0,PTA
953,2.08,13.8,4.17,15,Hex,Without mesh,0,PTA
953,2.09,13.8,4.17,15,Hex,Without mesh,0,PTA
953,2.09,13.8,4.18,15,Hex,Without mesh,0,PTA
954,2.09,13.8,4.18,15,Hex,Without mesh,0,PTA
953,2.09,13.8,4.19,15,Hex,Without mesh,0,PTA
