Force (N),Position (mm),Stress (MPa),Strain (%),InFill %,InFill Type,mesh Type,Number of mesh layers,BaseMaterial
551,0.837,8.48,1.67,15,3D,Without Mesh,0,PLA
552,0.839,8.5,1.68,15,3D,Without Mesh,0,PLA
554,0.842,8.52,1.68,15,3D,Without Mesh,0,PLA
555,0.844,8.53,1.69,15,3D,Without Mesh,0,PLA
556,0.846,8.55,1.69,15,3D,Without Mesh,0,PLA
557,0.848,8.57,1.7,15,3D,Without Mesh,0,PLA
558,0.85,8.58,1.7,15,3D,Without Mesh,0,PLA
559,0.853,8.61,1.71,15,3D,Without Mesh,0,PLA
560,0.855,8.62,1.71,15,3D,Without Mesh,0,PLA
562,0.857,8.64,1.71,15,3D,Without Mesh,0,PLA
563,0.859,8.65,1.72,15,3D,Without Mesh,0,PLA
564,0.861,8.68,1.72,15,3D,Without Mesh,0,PLA
565,0.863,8.69,1.73,15,3D,Without Mesh,0,PLA
566,0.866,8.71,1.73,15,3D,Without Mesh,0,PLA
568,0.868,8.73,1.74,15,3D,Without Mesh,0,PLA
569,0.87,8.75,1.74,15,3D,Without Mesh,0,PLA
570,0.872,8.76,1.74,15,3D,Without Mesh,0,PLA
571,0.874,8.79,1.75,15,3D,Without Mesh,0,PLA
572,0.877,8.8,1.75,15,3D,Without Mesh,0,PLA
573,0.879,8.82,1.76,15,3D,Without Mesh,0,PLA
574,0.881,8.84,1.76,15,3D,Without Mesh,0,PLA
576,0.883,8.86,1.77,15,3D,Without Mesh,0,PLA
576,0.885,8.87,1.77,15,3D,Without Mesh,0,PLA
578,0.887,8.89,1.77,15,3D,Without Mesh,0,PLA
579,0.889,8.91,1.78,15,3D,Without Mesh,0,PLA
580,0.892,8.92,1.78,15,3D,Without Mesh,0,PLA
581,0.894,8.94,1.79,15,3D,Without Mesh,0,PLA
582,0.896,8.96,1.79,15,3D,Without Mesh,0,PLA
584,0.898,8.98,1.8,15,3D,Without Mesh,0,PLA
584,0.9,8.99,1.8,15,3D,Without Mesh,0,PLA
586,0.902,9.01,1.8,15,3D,Without Mesh,0,PLA
587,0.905,9.03,1.81,15,3D,Without Mesh,0,PLA
588,0.907,9.05,1.81,15,3D,Without Mesh,0,PLA
589,0.909,9.06,1.82,15,3D,Without Mesh,0,PLA
590,0.911,9.08,1.82,15,3D,Without Mesh,0,PLA
591,0.913,9.09,1.83,15,3D,Without Mesh,0,PLA
592,0.915,9.11,1.83,15,3D,Without Mesh,0,PLA
594,0.918,9.13,1.84,15,3D,Without Mesh,0,PLA
595,0.92,9.15,1.84,15,3D,Without Mesh,0,PLA
596,0.922,9.17,1.84,15,3D,Without Mesh,0,PLA
597,0.924,9.19,1.85,15,3D,Without Mesh,0,PLA
598,0.926,9.2,1.85,15,3D,Without Mesh,0,PLA
599,0.929,9.22,1.86,15,3D,Without Mesh,0,PLA
601,0.931,9.24,1.86,15,3D,Without Mesh,0,PLA
601,0.933,9.25,1.87,15,3D,Without Mesh,0,PLA
603,0.935,9.27,1.87,15,3D,Without Mesh,0,PLA
603,0.937,9.28,1.87,15,3D,Without Mesh,0,PLA
605,0.939,9.31,1.88,15,3D,Without Mesh,0,PLA
606,0.941,9.32,1.88,15,3D,Without Mesh,0,PLA
607,0.944,9.34,1.89,15,3D,Without Mesh,0,PLA
608,0.946,9.36,1.89,15,3D,Without Mesh,0,PLA
609,0.948,9.37,1.9,15,3D,Without Mesh,0,PLA
610,0.95,9.39,1.9,15,3D,Without Mesh,0,PLA
611,0.952,9.4,1.9,15,3D,Without Mesh,0,PLA
613,0.954,9.43,1.91,15,3D,Without Mesh,0,PLA
614,0.957,9.44,1.91,15,3D,Without Mesh,0,PLA
615,0.959,9.46,1.92,15,3D,Without Mesh,0,PLA
616,0.961,9.47,1.92,15,3D,Without Mesh,0,PLA
617,0.963,9.49,1.93,15,3D,Without Mesh,0,PLA
618,0.965,9.51,1.93,15,3D,Without Mesh,0,PLA
619,0.967,9.52,1.93,15,3D,Without Mesh,0,PLA
620,0.97,9.54,1.94,15,3D,Without Mesh,0,PLA
621,0.972,9.56,1.94,15,3D,Without Mesh,0,PLA
622,0.974,9.57,1.95,15,3D,Without Mesh,0,PLA
623,0.976,9.59,1.95,15,3D,Without Mesh,0,PLA
624,0.978,9.6,1.96,15,3D,Without Mesh,0,PLA
626,0.98,9.63,1.96,15,3D,Without Mesh,0,PLA
627,0.983,9.64,1.97,15,3D,Without Mesh,0,PLA
628,0.985,9.66,1.97,15,3D,Without Mesh,0,PLA
629,0.987,9.67,1.97,15,3D,Without Mesh,0,PLA
630,0.989,9.7,1.98,15,3D,Without Mesh,0,PLA
631,0.991,9.71,1.98,15,3D,Without Mesh,0,PLA
632,0.994,9.73,1.99,15,3D,Without Mesh,0,PLA
634,0.996,9.75,1.99,15,3D,Without Mesh,0,PLA
635,0.998,9.76,2,15,3D,Without Mesh,0,PLA
636,1,9.78,2,15,3D,Without Mesh,0,PLA
637,1,9.79,2,15,3D,Without Mesh,0,PLA
638,1,9.81,2.01,15,3D,Without Mesh,0,PLA
639,1.01,9.83,2.01,15,3D,Without Mesh,0,PLA
640,1.01,9.85,2.02,15,3D,Without Mesh,0,PLA
641,1.01,9.86,2.02,15,3D,Without Mesh,0,PLA
642,1.01,9.88,2.03,15,3D,Without Mesh,0,PLA
643,1.02,9.89,2.03,15,3D,Without Mesh,0,PLA
644,1.02,9.91,2.03,15,3D,Without Mesh,0,PLA
645,1.02,9.92,2.04,15,3D,Without Mesh,0,PLA
646,1.02,9.94,2.04,15,3D,Without Mesh,0,PLA
647,1.02,9.96,2.05,15,3D,Without Mesh,0,PLA
648,1.03,9.97,2.05,15,3D,Without Mesh,0,PLA
649,1.03,9.99,2.06,15,3D,Without Mesh,0,PLA
651,1.03,10,2.06,15,3D,Without Mesh,0,PLA
651,1.03,10,2.07,15,3D,Without Mesh,0,PLA
653,1.03,10,2.07,15,3D,Without Mesh,0,PLA
654,1.04,10.1,2.07,15,3D,Without Mesh,0,PLA
655,1.04,10.1,2.08,15,3D,Without Mesh,0,PLA
656,1.04,10.1,2.08,15,3D,Without Mesh,0,PLA
657,1.04,10.1,2.09,15,3D,Without Mesh,0,PLA
658,1.05,10.1,2.09,15,3D,Without Mesh,0,PLA
659,1.05,10.1,2.1,15,3D,Without Mesh,0,PLA
660,1.05,10.2,2.1,15,3D,Without Mesh,0,PLA
661,1.05,10.2,2.1,15,3D,Without Mesh,0,PLA
662,1.05,10.2,2.11,15,3D,Without Mesh,0,PLA
663,1.06,10.2,2.11,15,3D,Without Mesh,0,PLA
664,1.06,10.2,2.12,15,3D,Without Mesh,0,PLA
665,1.06,10.2,2.12,15,3D,Without Mesh,0,PLA
667,1.06,10.3,2.13,15,3D,Without Mesh,0,PLA
668,1.07,10.3,2.13,15,3D,Without Mesh,0,PLA
669,1.07,10.3,2.13,15,3D,Without Mesh,0,PLA
669,1.07,10.3,2.14,15,3D,Without Mesh,0,PLA
671,1.07,10.3,2.14,15,3D,Without Mesh,0,PLA
671,1.07,10.3,2.15,15,3D,Without Mesh,0,PLA
673,1.08,10.4,2.15,15,3D,Without Mesh,0,PLA
674,1.08,10.4,2.16,15,3D,Without Mesh,0,PLA
675,1.08,10.4,2.16,15,3D,Without Mesh,0,PLA
675,1.08,10.4,2.16,15,3D,Without Mesh,0,PLA
677,1.08,10.4,2.17,15,3D,Without Mesh,0,PLA
678,1.09,10.4,2.17,15,3D,Without Mesh,0,PLA
679,1.09,10.4,2.18,15,3D,Without Mesh,0,PLA
680,1.09,10.5,2.18,15,3D,Without Mesh,0,PLA
681,1.09,10.5,2.19,15,3D,Without Mesh,0,PLA
682,1.1,10.5,2.19,15,3D,Without Mesh,0,PLA
683,1.1,10.5,2.2,15,3D,Without Mesh,0,PLA
684,1.1,10.5,2.2,15,3D,Without Mesh,0,PLA
685,1.1,10.5,2.2,15,3D,Without Mesh,0,PLA
686,1.1,10.6,2.21,15,3D,Without Mesh,0,PLA
687,1.11,10.6,2.21,15,3D,Without Mesh,0,PLA
689,1.11,10.6,2.22,15,3D,Without Mesh,0,PLA
689,1.11,10.6,2.22,15,3D,Without Mesh,0,PLA
690,1.11,10.6,2.23,15,3D,Without Mesh,0,PLA
691,1.11,10.6,2.23,15,3D,Without Mesh,0,PLA
692,1.12,10.7,2.23,15,3D,Without Mesh,0,PLA
693,1.12,10.7,2.24,15,3D,Without Mesh,0,PLA
695,1.12,10.7,2.24,15,3D,Without Mesh,0,PLA
696,1.12,10.7,2.25,15,3D,Without Mesh,0,PLA
697,1.13,10.7,2.25,15,3D,Without Mesh,0,PLA
697,1.13,10.7,2.26,15,3D,Without Mesh,0,PLA
699,1.13,10.8,2.26,15,3D,Without Mesh,0,PLA
699,1.13,10.8,2.26,15,3D,Without Mesh,0,PLA
701,1.13,10.8,2.27,15,3D,Without Mesh,0,PLA
702,1.14,10.8,2.27,15,3D,Without Mesh,0,PLA
702,1.14,10.8,2.28,15,3D,Without Mesh,0,PLA
703,1.14,10.8,2.28,15,3D,Without Mesh,0,PLA
705,1.14,10.8,2.29,15,3D,Without Mesh,0,PLA
705,1.15,10.9,2.29,15,3D,Without Mesh,0,PLA
707,1.15,10.9,2.3,15,3D,Without Mesh,0,PLA
707,1.15,10.9,2.3,15,3D,Without Mesh,0,PLA
708,1.15,10.9,2.3,15,3D,Without Mesh,0,PLA
709,1.15,10.9,2.31,15,3D,Without Mesh,0,PLA
710,1.16,10.9,2.31,15,3D,Without Mesh,0,PLA
711,1.16,10.9,2.32,15,3D,Without Mesh,0,PLA
712,1.16,11,2.32,15,3D,Without Mesh,0,PLA
713,1.16,11,2.33,15,3D,Without Mesh,0,PLA
714,1.16,11,2.33,15,3D,Without Mesh,0,PLA
715,1.17,11,2.33,15,3D,Without Mesh,0,PLA
716,1.17,11,2.34,15,3D,Without Mesh,0,PLA
717,1.17,11,2.34,15,3D,Without Mesh,0,PLA
718,1.17,11,2.35,15,3D,Without Mesh,0,PLA
719,1.18,11.1,2.35,15,3D,Without Mesh,0,PLA
720,1.18,11.1,2.36,15,3D,Without Mesh,0,PLA
721,1.18,11.1,2.36,15,3D,Without Mesh,0,PLA
722,1.18,11.1,2.36,15,3D,Without Mesh,0,PLA
723,1.18,11.1,2.37,15,3D,Without Mesh,0,PLA
724,1.19,11.1,2.37,15,3D,Without Mesh,0,PLA
725,1.19,11.2,2.38,15,3D,Without Mesh,0,PLA
726,1.19,11.2,2.38,15,3D,Without Mesh,0,PLA
727,1.19,11.2,2.39,15,3D,Without Mesh,0,PLA
728,1.2,11.2,2.39,15,3D,Without Mesh,0,PLA
729,1.2,11.2,2.4,15,3D,Without Mesh,0,PLA
730,1.2,11.2,2.4,15,3D,Without Mesh,0,PLA
731,1.2,11.2,2.4,15,3D,Without Mesh,0,PLA
732,1.2,11.3,2.41,15,3D,Without Mesh,0,PLA
733,1.21,11.3,2.41,15,3D,Without Mesh,0,PLA
734,1.21,11.3,2.42,15,3D,Without Mesh,0,PLA
735,1.21,11.3,2.42,15,3D,Without Mesh,0,PLA
735,1.21,11.3,2.43,15,3D,Without Mesh,0,PLA
737,1.21,11.3,2.43,15,3D,Without Mesh,0,PLA
737,1.22,11.3,2.43,15,3D,Without Mesh,0,PLA
738,1.22,11.4,2.44,15,3D,Without Mesh,0,PLA
739,1.22,11.4,2.44,15,3D,Without Mesh,0,PLA
741,1.22,11.4,2.45,15,3D,Without Mesh,0,PLA
742,1.23,11.4,2.45,15,3D,Without Mesh,0,PLA
742,1.23,11.4,2.46,15,3D,Without Mesh,0,PLA
743,1.23,11.4,2.46,15,3D,Without Mesh,0,PLA
744,1.23,11.5,2.46,15,3D,Without Mesh,0,PLA
745,1.23,11.5,2.47,15,3D,Without Mesh,0,PLA
746,1.24,11.5,2.47,15,3D,Without Mesh,0,PLA
747,1.24,11.5,2.48,15,3D,Without Mesh,0,PLA
748,1.24,11.5,2.48,15,3D,Without Mesh,0,PLA
749,1.24,11.5,2.49,15,3D,Without Mesh,0,PLA
750,1.25,11.5,2.49,15,3D,Without Mesh,0,PLA
751,1.25,11.6,2.49,15,3D,Without Mesh,0,PLA
752,1.25,11.6,2.5,15,3D,Without Mesh,0,PLA
752,1.25,11.6,2.5,15,3D,Without Mesh,0,PLA
754,1.25,11.6,2.51,15,3D,Without Mesh,0,PLA
755,1.26,11.6,2.51,15,3D,Without Mesh,0,PLA
755,1.26,11.6,2.52,15,3D,Without Mesh,0,PLA
757,1.26,11.6,2.52,15,3D,Without Mesh,0,PLA
757,1.26,11.7,2.53,15,3D,Without Mesh,0,PLA
758,1.26,11.7,2.53,15,3D,Without Mesh,0,PLA
760,1.27,11.7,2.53,15,3D,Without Mesh,0,PLA
760,1.27,11.7,2.54,15,3D,Without Mesh,0,PLA
761,1.27,11.7,2.54,15,3D,Without Mesh,0,PLA
762,1.27,11.7,2.55,15,3D,Without Mesh,0,PLA
763,1.28,11.7,2.55,15,3D,Without Mesh,0,PLA
764,1.28,11.8,2.56,15,3D,Without Mesh,0,PLA
765,1.28,11.8,2.56,15,3D,Without Mesh,0,PLA
766,1.28,11.8,2.56,15,3D,Without Mesh,0,PLA
767,1.28,11.8,2.57,15,3D,Without Mesh,0,PLA
768,1.29,11.8,2.57,15,3D,Without Mesh,0,PLA
769,1.29,11.8,2.58,15,3D,Without Mesh,0,PLA
770,1.29,11.8,2.58,15,3D,Without Mesh,0,PLA
771,1.29,11.9,2.59,15,3D,Without Mesh,0,PLA
771,1.29,11.9,2.59,15,3D,Without Mesh,0,PLA
773,1.3,11.9,2.59,15,3D,Without Mesh,0,PLA
773,1.3,11.9,2.6,15,3D,Without Mesh,0,PLA
774,1.3,11.9,2.6,15,3D,Without Mesh,0,PLA
775,1.3,11.9,2.61,15,3D,Without Mesh,0,PLA
776,1.31,11.9,2.61,15,3D,Without Mesh,0,PLA
777,1.31,12,2.62,15,3D,Without Mesh,0,PLA
778,1.31,12,2.62,15,3D,Without Mesh,0,PLA
779,1.31,12,2.62,15,3D,Without Mesh,0,PLA
780,1.31,12,2.63,15,3D,Without Mesh,0,PLA
781,1.32,12,2.63,15,3D,Without Mesh,0,PLA
782,1.32,12,2.64,15,3D,Without Mesh,0,PLA
782,1.32,12,2.64,15,3D,Without Mesh,0,PLA
784,1.32,12.1,2.65,15,3D,Without Mesh,0,PLA
784,1.33,12.1,2.65,15,3D,Without Mesh,0,PLA
785,1.33,12.1,2.66,15,3D,Without Mesh,0,PLA
786,1.33,12.1,2.66,15,3D,Without Mesh,0,PLA
787,1.33,12.1,2.66,15,3D,Without Mesh,0,PLA
788,1.33,12.1,2.67,15,3D,Without Mesh,0,PLA
789,1.34,12.1,2.67,15,3D,Without Mesh,0,PLA
790,1.34,12.1,2.68,15,3D,Without Mesh,0,PLA
791,1.34,12.2,2.68,15,3D,Without Mesh,0,PLA
792,1.34,12.2,2.69,15,3D,Without Mesh,0,PLA
793,1.34,12.2,2.69,15,3D,Without Mesh,0,PLA
794,1.35,12.2,2.69,15,3D,Without Mesh,0,PLA
795,1.35,12.2,2.7,15,3D,Without Mesh,0,PLA
795,1.35,12.2,2.7,15,3D,Without Mesh,0,PLA
796,1.35,12.2,2.71,15,3D,Without Mesh,0,PLA
797,1.36,12.3,2.71,15,3D,Without Mesh,0,PLA
798,1.36,12.3,2.72,15,3D,Without Mesh,0,PLA
799,1.36,12.3,2.72,15,3D,Without Mesh,0,PLA
800,1.36,12.3,2.72,15,3D,Without Mesh,0,PLA
801,1.36,12.3,2.73,15,3D,Without Mesh,0,PLA
802,1.37,12.3,2.73,15,3D,Without Mesh,0,PLA
803,1.37,12.3,2.74,15,3D,Without Mesh,0,PLA
803,1.37,12.4,2.74,15,3D,Without Mesh,0,PLA
805,1.37,12.4,2.75,15,3D,Without Mesh,0,PLA
805,1.38,12.4,2.75,15,3D,Without Mesh,0,PLA
806,1.38,12.4,2.75,15,3D,Without Mesh,0,PLA
807,1.38,12.4,2.76,15,3D,Without Mesh,0,PLA
808,1.38,12.4,2.76,15,3D,Without Mesh,0,PLA
809,1.38,12.4,2.77,15,3D,Without Mesh,0,PLA
809,1.39,12.5,2.77,15,3D,Without Mesh,0,PLA
810,1.39,12.5,2.78,15,3D,Without Mesh,0,PLA
811,1.39,12.5,2.78,15,3D,Without Mesh,0,PLA
812,1.39,12.5,2.79,15,3D,Without Mesh,0,PLA
813,1.39,12.5,2.79,15,3D,Without Mesh,0,PLA
814,1.4,12.5,2.79,15,3D,Without Mesh,0,PLA
815,1.4,12.5,2.8,15,3D,Without Mesh,0,PLA
816,1.4,12.5,2.8,15,3D,Without Mesh,0,PLA
816,1.4,12.6,2.81,15,3D,Without Mesh,0,PLA
818,1.41,12.6,2.81,15,3D,Without Mesh,0,PLA
818,1.41,12.6,2.82,15,3D,Without Mesh,0,PLA
819,1.41,12.6,2.82,15,3D,Without Mesh,0,PLA
820,1.41,12.6,2.82,15,3D,Without Mesh,0,PLA
821,1.41,12.6,2.83,15,3D,Without Mesh,0,PLA
822,1.42,12.6,2.83,15,3D,Without Mesh,0,PLA
822,1.42,12.7,2.84,15,3D,Without Mesh,0,PLA
823,1.42,12.7,2.84,15,3D,Without Mesh,0,PLA
824,1.42,12.7,2.85,15,3D,Without Mesh,0,PLA
825,1.43,12.7,2.85,15,3D,Without Mesh,0,PLA
826,1.43,12.7,2.85,15,3D,Without Mesh,0,PLA
827,1.43,12.7,2.86,15,3D,Without Mesh,0,PLA
828,1.43,12.7,2.86,15,3D,Without Mesh,0,PLA
828,1.43,12.7,2.87,15,3D,Without Mesh,0,PLA
829,1.44,12.8,2.87,15,3D,Without Mesh,0,PLA
830,1.44,12.8,2.88,15,3D,Without Mesh,0,PLA
831,1.44,12.8,2.88,15,3D,Without Mesh,0,PLA
832,1.44,12.8,2.89,15,3D,Without Mesh,0,PLA
833,1.44,12.8,2.89,15,3D,Without Mesh,0,PLA
833,1.45,12.8,2.89,15,3D,Without Mesh,0,PLA
834,1.45,12.8,2.9,15,3D,Without Mesh,0,PLA
835,1.45,12.8,2.9,15,3D,Without Mesh,0,PLA
836,1.45,12.9,2.91,15,3D,Without Mesh,0,PLA
837,1.46,12.9,2.91,15,3D,Without Mesh,0,PLA
838,1.46,12.9,2.92,15,3D,Without Mesh,0,PLA
839,1.46,12.9,2.92,15,3D,Without Mesh,0,PLA
839,1.46,12.9,2.92,15,3D,Without Mesh,0,PLA
840,1.46,12.9,2.93,15,3D,Without Mesh,0,PLA
841,1.47,12.9,2.93,15,3D,Without Mesh,0,PLA
842,1.47,13,2.94,15,3D,Without Mesh,0,PLA
842,1.47,13,2.94,15,3D,Without Mesh,0,PLA
843,1.47,13,2.95,15,3D,Without Mesh,0,PLA
844,1.48,13,2.95,15,3D,Without Mesh,0,PLA
845,1.48,13,2.95,15,3D,Without Mesh,0,PLA
845,1.48,13,2.96,15,3D,Without Mesh,0,PLA
846,1.48,13,2.96,15,3D,Without Mesh,0,PLA
848,1.48,13,2.97,15,3D,Without Mesh,0,PLA
848,1.49,13,2.97,15,3D,Without Mesh,0,PLA
849,1.49,13.1,2.98,15,3D,Without Mesh,0,PLA
849,1.49,13.1,2.98,15,3D,Without Mesh,0,PLA
851,1.49,13.1,2.99,15,3D,Without Mesh,0,PLA
851,1.49,13.1,2.99,15,3D,Without Mesh,0,PLA
852,1.5,13.1,2.99,15,3D,Without Mesh,0,PLA
853,1.5,13.1,3,15,3D,Without Mesh,0,PLA
853,1.5,13.1,3,15,3D,Without Mesh,0,PLA
854,1.5,13.1,3.01,15,3D,Without Mesh,0,PLA
855,1.51,13.2,3.01,15,3D,Without Mesh,0,PLA
856,1.51,13.2,3.02,15,3D,Without Mesh,0,PLA
857,1.51,13.2,3.02,15,3D,Without Mesh,0,PLA
858,1.51,13.2,3.02,15,3D,Without Mesh,0,PLA
858,1.51,13.2,3.03,15,3D,Without Mesh,0,PLA
859,1.52,13.2,3.03,15,3D,Without Mesh,0,PLA
860,1.52,13.2,3.04,15,3D,Without Mesh,0,PLA
861,1.52,13.2,3.04,15,3D,Without Mesh,0,PLA
861,1.52,13.3,3.05,15,3D,Without Mesh,0,PLA
862,1.53,13.3,3.05,15,3D,Without Mesh,0,PLA
864,1.53,13.3,3.05,15,3D,Without Mesh,0,PLA
863,1.53,13.3,3.06,15,3D,Without Mesh,0,PLA
865,1.53,13.3,3.06,15,3D,Without Mesh,0,PLA
865,1.53,13.3,3.07,15,3D,Without Mesh,0,PLA
866,1.54,13.3,3.07,15,3D,Without Mesh,0,PLA
867,1.54,13.3,3.08,15,3D,Without Mesh,0,PLA
867,1.54,13.3,3.08,15,3D,Without Mesh,0,PLA
868,1.54,13.4,3.08,15,3D,Without Mesh,0,PLA
869,1.54,13.4,3.09,15,3D,Without Mesh,0,PLA
870,1.55,13.4,3.09,15,3D,Without Mesh,0,PLA
870,1.55,13.4,3.1,15,3D,Without Mesh,0,PLA
871,1.55,13.4,3.1,15,3D,Without Mesh,0,PLA
872,1.55,13.4,3.11,15,3D,Without Mesh,0,PLA
873,1.56,13.4,3.11,15,3D,Without Mesh,0,PLA
874,1.56,13.4,3.12,15,3D,Without Mesh,0,PLA
874,1.56,13.4,3.12,15,3D,Without Mesh,0,PLA
875,1.56,13.5,3.12,15,3D,Without Mesh,0,PLA
876,1.56,13.5,3.13,15,3D,Without Mesh,0,PLA
877,1.57,13.5,3.13,15,3D,Without Mesh,0,PLA
877,1.57,13.5,3.14,15,3D,Without Mesh,0,PLA
878,1.57,13.5,3.14,15,3D,Without Mesh,0,PLA
879,1.57,13.5,3.15,15,3D,Without Mesh,0,PLA
879,1.58,13.5,3.15,15,3D,Without Mesh,0,PLA
880,1.58,13.5,3.15,15,3D,Without Mesh,0,PLA
881,1.58,13.5,3.16,15,3D,Without Mesh,0,PLA
882,1.58,13.6,3.16,15,3D,Without Mesh,0,PLA
882,1.58,13.6,3.17,15,3D,Without Mesh,0,PLA
883,1.59,13.6,3.17,15,3D,Without Mesh,0,PLA
883,1.59,13.6,3.18,15,3D,Without Mesh,0,PLA
884,1.59,13.6,3.18,15,3D,Without Mesh,0,PLA
885,1.59,13.6,3.18,15,3D,Without Mesh,0,PLA
886,1.59,13.6,3.19,15,3D,Without Mesh,0,PLA
886,1.6,13.6,3.19,15,3D,Without Mesh,0,PLA
887,1.6,13.6,3.2,15,3D,Without Mesh,0,PLA
888,1.6,13.7,3.2,15,3D,Without Mesh,0,PLA
889,1.6,13.7,3.21,15,3D,Without Mesh,0,PLA
889,1.61,13.7,3.21,15,3D,Without Mesh,0,PLA
890,1.61,13.7,3.21,15,3D,Without Mesh,0,PLA
891,1.61,13.7,3.22,15,3D,Without Mesh,0,PLA
891,1.61,13.7,3.22,15,3D,Without Mesh,0,PLA
892,1.61,13.7,3.23,15,3D,Without Mesh,0,PLA
893,1.62,13.7,3.23,15,3D,Without Mesh,0,PLA
894,1.62,13.7,3.24,15,3D,Without Mesh,0,PLA
894,1.62,13.8,3.24,15,3D,Without Mesh,0,PLA
895,1.62,13.8,3.25,15,3D,Without Mesh,0,PLA
896,1.62,13.8,3.25,15,3D,Without Mesh,0,PLA
896,1.63,13.8,3.25,15,3D,Without Mesh,0,PLA
897,1.63,13.8,3.26,15,3D,Without Mesh,0,PLA
898,1.63,13.8,3.26,15,3D,Without Mesh,0,PLA
899,1.63,13.8,3.27,15,3D,Without Mesh,0,PLA
899,1.64,13.8,3.27,15,3D,Without Mesh,0,PLA
900,1.64,13.8,3.28,15,3D,Without Mesh,0,PLA
900,1.64,13.8,3.28,15,3D,Without Mesh,0,PLA
901,1.64,13.9,3.28,15,3D,Without Mesh,0,PLA
902,1.64,13.9,3.29,15,3D,Without Mesh,0,PLA
902,1.65,13.9,3.29,15,3D,Without Mesh,0,PLA
903,1.65,13.9,3.3,15,3D,Without Mesh,0,PLA
904,1.65,13.9,3.3,15,3D,Without Mesh,0,PLA
904,1.65,13.9,3.31,15,3D,Without Mesh,0,PLA
905,1.66,13.9,3.31,15,3D,Without Mesh,0,PLA
905,1.66,13.9,3.31,15,3D,Without Mesh,0,PLA
906,1.66,13.9,3.32,15,3D,Without Mesh,0,PLA
907,1.66,14,3.32,15,3D,Without Mesh,0,PLA
908,1.66,14,3.33,15,3D,Without Mesh,0,PLA
908,1.67,14,3.33,15,3D,Without Mesh,0,PLA
909,1.67,14,3.34,15,3D,Without Mesh,0,PLA
909,1.67,14,3.34,15,3D,Without Mesh,0,PLA
910,1.67,14,3.35,15,3D,Without Mesh,0,PLA
911,1.67,14,3.35,15,3D,Without Mesh,0,PLA
911,1.68,14,3.35,15,3D,Without Mesh,0,PLA
911,1.68,14,3.36,15,3D,Without Mesh,0,PLA
912,1.68,14,3.36,15,3D,Without Mesh,0,PLA
913,1.68,14,3.37,15,3D,Without Mesh,0,PLA
914,1.69,14.1,3.37,15,3D,Without Mesh,0,PLA
914,1.69,14.1,3.38,15,3D,Without Mesh,0,PLA
915,1.69,14.1,3.38,15,3D,Without Mesh,0,PLA
915,1.69,14.1,3.38,15,3D,Without Mesh,0,PLA
916,1.69,14.1,3.39,15,3D,Without Mesh,0,PLA
917,1.7,14.1,3.39,15,3D,Without Mesh,0,PLA
917,1.7,14.1,3.4,15,3D,Without Mesh,0,PLA
918,1.7,14.1,3.4,15,3D,Without Mesh,0,PLA
918,1.7,14.1,3.41,15,3D,Without Mesh,0,PLA
919,1.71,14.1,3.41,15,3D,Without Mesh,0,PLA
919,1.71,14.1,3.41,15,3D,Without Mesh,0,PLA
920,1.71,14.2,3.42,15,3D,Without Mesh,0,PLA
921,1.71,14.2,3.42,15,3D,Without Mesh,0,PLA
921,1.71,14.2,3.43,15,3D,Without Mesh,0,PLA
922,1.72,14.2,3.43,15,3D,Without Mesh,0,PLA
922,1.72,14.2,3.44,15,3D,Without Mesh,0,PLA
923,1.72,14.2,3.44,15,3D,Without Mesh,0,PLA
924,1.72,14.2,3.44,15,3D,Without Mesh,0,PLA
924,1.72,14.2,3.45,15,3D,Without Mesh,0,PLA
925,1.73,14.2,3.45,15,3D,Without Mesh,0,PLA
925,1.73,14.2,3.46,15,3D,Without Mesh,0,PLA
926,1.73,14.2,3.46,15,3D,Without Mesh,0,PLA
926,1.73,14.3,3.47,15,3D,Without Mesh,0,PLA
927,1.74,14.3,3.47,15,3D,Without Mesh,0,PLA
928,1.74,14.3,3.48,15,3D,Without Mesh,0,PLA
928,1.74,14.3,3.48,15,3D,Without Mesh,0,PLA
929,1.74,14.3,3.48,15,3D,Without Mesh,0,PLA
929,1.74,14.3,3.49,15,3D,Without Mesh,0,PLA
930,1.75,14.3,3.49,15,3D,Without Mesh,0,PLA
930,1.75,14.3,3.5,15,3D,Without Mesh,0,PLA
931,1.75,14.3,3.5,15,3D,Without Mesh,0,PLA
931,1.75,14.3,3.51,15,3D,Without Mesh,0,PLA
932,1.75,14.3,3.51,15,3D,Without Mesh,0,PLA
932,1.76,14.3,3.51,15,3D,Without Mesh,0,PLA
933,1.76,14.3,3.52,15,3D,Without Mesh,0,PLA
933,1.76,14.4,3.52,15,3D,Without Mesh,0,PLA
933,1.76,14.4,3.53,15,3D,Without Mesh,0,PLA
934,1.77,14.4,3.53,15,3D,Without Mesh,0,PLA
935,1.77,14.4,3.54,15,3D,Without Mesh,0,PLA
935,1.77,14.4,3.54,15,3D,Without Mesh,0,PLA
935,1.77,14.4,3.54,15,3D,Without Mesh,0,PLA
935,1.77,14.4,3.55,15,3D,Without Mesh,0,PLA
936,1.78,14.4,3.55,15,3D,Without Mesh,0,PLA
937,1.78,14.4,3.56,15,3D,Without Mesh,0,PLA
937,1.78,14.4,3.56,15,3D,Without Mesh,0,PLA
937,1.78,14.4,3.57,15,3D,Without Mesh,0,PLA
938,1.79,14.4,3.57,15,3D,Without Mesh,0,PLA
