Force (N),Position (mm),Stress (MPa),Strain (%),InFill %,InFill Type,mesh Type,Number of mesh layers,BaseMaterial
86.6,0.0999,1.33,0.2,15,3D,Without Mesh,0,PLA
88.6,0.102,1.36,0.204,15,3D,Without Mesh,0,PLA
90.3,0.104,1.39,0.208,15,3D,Without Mesh,0,PLA
91.9,0.106,1.41,0.213,15,3D,Without Mesh,0,PLA
93.9,0.109,1.45,0.217,15,3D,Without Mesh,0,PLA
95.6,0.111,1.47,0.222,15,3D,Without Mesh,0,PLA
97.5,0.113,1.5,0.226,15,3D,Without Mesh,0,PLA
99.1,0.115,1.52,0.23,15,3D,Without Mesh,0,PLA
101,0.117,1.55,0.235,15,3D,Without Mesh,0,PLA
103,0.12,1.58,0.239,15,3D,Without Mesh,0,PLA
104,0.122,1.61,0.243,15,3D,Without Mesh,0,PLA
106,0.124,1.63,0.248,15,3D,Without Mesh,0,PLA
108,0.126,1.66,0.252,15,3D,Without Mesh,0,PLA
109,0.128,1.68,0.256,15,3D,Without Mesh,0,PLA
111,0.13,1.71,0.261,15,3D,Without Mesh,0,PLA
113,0.132,1.74,0.265,15,3D,Without Mesh,0,PLA
115,0.135,1.76,0.269,15,3D,Without Mesh,0,PLA
117,0.137,1.8,0.274,15,3D,Without Mesh,0,PLA
118,0.139,1.82,0.278,15,3D,Without Mesh,0,PLA
120,0.141,1.85,0.282,15,3D,Without Mesh,0,PLA
122,0.143,1.87,0.287,15,3D,Without Mesh,0,PLA
123,0.145,1.9,0.291,15,3D,Without Mesh,0,PLA
125,0.148,1.92,0.295,15,3D,Without Mesh,0,PLA
127,0.15,1.95,0.3,15,3D,Without Mesh,0,PLA
128,0.152,1.97,0.304,15,3D,Without Mesh,0,PLA
130,0.154,2,0.308,15,3D,Without Mesh,0,PLA
132,0.156,2.03,0.312,15,3D,Without Mesh,0,PLA
134,0.158,2.06,0.317,15,3D,Without Mesh,0,PLA
135,0.161,2.08,0.321,15,3D,Without Mesh,0,PLA
137,0.163,2.11,0.326,15,3D,Without Mesh,0,PLA
139,0.165,2.14,0.33,15,3D,Without Mesh,0,PLA
140,0.167,2.15,0.334,15,3D,Without Mesh,0,PLA
142,0.169,2.18,0.339,15,3D,Without Mesh,0,PLA
143,0.172,2.21,0.343,15,3D,Without Mesh,0,PLA
145,0.174,2.23,0.347,15,3D,Without Mesh,0,PLA
147,0.176,2.26,0.352,15,3D,Without Mesh,0,PLA
149,0.178,2.29,0.356,15,3D,Without Mesh,0,PLA
150,0.18,2.31,0.36,15,3D,Without Mesh,0,PLA
152,0.182,2.34,0.364,15,3D,Without Mesh,0,PLA
153,0.185,2.36,0.369,15,3D,Without Mesh,0,PLA
155,0.187,2.38,0.373,15,3D,Without Mesh,0,PLA
157,0.189,2.41,0.378,15,3D,Without Mesh,0,PLA
158,0.191,2.43,0.382,15,3D,Without Mesh,0,PLA
159,0.193,2.45,0.386,15,3D,Without Mesh,0,PLA
161,0.195,2.48,0.391,15,3D,Without Mesh,0,PLA
163,0.198,2.51,0.395,15,3D,Without Mesh,0,PLA
164,0.2,2.52,0.399,15,3D,Without Mesh,0,PLA
166,0.202,2.55,0.404,15,3D,Without Mesh,0,PLA
167,0.204,2.57,0.408,15,3D,Without Mesh,0,PLA
168,0.206,2.59,0.412,15,3D,Without Mesh,0,PLA
170,0.208,2.62,0.417,15,3D,Without Mesh,0,PLA
172,0.211,2.64,0.421,15,3D,Without Mesh,0,PLA
173,0.213,2.66,0.425,15,3D,Without Mesh,0,PLA
175,0.215,2.69,0.429,15,3D,Without Mesh,0,PLA
176,0.217,2.72,0.434,15,3D,Without Mesh,0,PLA
178,0.219,2.73,0.438,15,3D,Without Mesh,0,PLA
180,0.221,2.76,0.443,15,3D,Without Mesh,0,PLA
181,0.223,2.79,0.447,15,3D,Without Mesh,0,PLA
183,0.226,2.81,0.451,15,3D,Without Mesh,0,PLA
184,0.228,2.83,0.456,15,3D,Without Mesh,0,PLA
186,0.23,2.86,0.46,15,3D,Without Mesh,0,PLA
187,0.232,2.88,0.464,15,3D,Without Mesh,0,PLA
188,0.234,2.9,0.469,15,3D,Without Mesh,0,PLA
190,0.237,2.92,0.473,15,3D,Without Mesh,0,PLA
192,0.239,2.95,0.477,15,3D,Without Mesh,0,PLA
193,0.241,2.97,0.482,15,3D,Without Mesh,0,PLA
194,0.243,2.99,0.486,15,3D,Without Mesh,0,PLA
196,0.245,3.02,0.49,15,3D,Without Mesh,0,PLA
198,0.247,3.04,0.495,15,3D,Without Mesh,0,PLA
199,0.25,3.06,0.499,15,3D,Without Mesh,0,PLA
201,0.252,3.09,0.504,15,3D,Without Mesh,0,PLA
202,0.254,3.11,0.508,15,3D,Without Mesh,0,PLA
204,0.256,3.13,0.512,15,3D,Without Mesh,0,PLA
205,0.258,3.15,0.516,15,3D,Without Mesh,0,PLA
206,0.26,3.18,0.521,15,3D,Without Mesh,0,PLA
208,0.263,3.2,0.525,15,3D,Without Mesh,0,PLA
210,0.265,3.23,0.529,15,3D,Without Mesh,0,PLA
211,0.267,3.25,0.534,15,3D,Without Mesh,0,PLA
212,0.269,3.27,0.538,15,3D,Without Mesh,0,PLA
214,0.271,3.29,0.542,15,3D,Without Mesh,0,PLA
216,0.273,3.32,0.547,15,3D,Without Mesh,0,PLA
217,0.276,3.34,0.551,15,3D,Without Mesh,0,PLA
218,0.278,3.36,0.555,15,3D,Without Mesh,0,PLA
220,0.28,3.38,0.56,15,3D,Without Mesh,0,PLA
221,0.282,3.41,0.564,15,3D,Without Mesh,0,PLA
223,0.284,3.43,0.568,15,3D,Without Mesh,0,PLA
224,0.286,3.45,0.573,15,3D,Without Mesh,0,PLA
226,0.289,3.48,0.577,15,3D,Without Mesh,0,PLA
227,0.291,3.5,0.581,15,3D,Without Mesh,0,PLA
228,0.293,3.51,0.586,15,3D,Without Mesh,0,PLA
230,0.295,3.54,0.59,15,3D,Without Mesh,0,PLA
232,0.297,3.56,0.594,15,3D,Without Mesh,0,PLA
233,0.299,3.59,0.599,15,3D,Without Mesh,0,PLA
235,0.302,3.61,0.603,15,3D,Without Mesh,0,PLA
236,0.304,3.63,0.607,15,3D,Without Mesh,0,PLA
237,0.306,3.65,0.612,15,3D,Without Mesh,0,PLA
238,0.308,3.67,0.616,15,3D,Without Mesh,0,PLA
240,0.31,3.69,0.62,15,3D,Without Mesh,0,PLA
