Force (N),Position (mm),Stress (MPa),Strain (%),Infill%,Infill Type,Mesh Type,Number of mesh layer,Base Material
211,0.223,3.06,0.446,15,Tri,Fiber,Double,PLA
214,0.226,3.1,0.452,15,Tri,Fiber,Double,PLA
216,0.229,3.14,0.458,15,Tri,Fiber,Double,PLA
219,0.232,3.17,0.464,15,Tri,Fiber,Double,PLA
222,0.235,3.22,0.47,15,Tri,Fiber,Double,PLA
224,0.238,3.26,0.477,15,Tri,Fiber,Double,PLA
227,0.241,3.3,0.483,15,Tri,Fiber,Double,PLA
230,0.244,3.34,0.489,15,Tri,Fiber,Double,PLA
232,0.247,3.37,0.495,15,Tri,Fiber,Double,PLA
235,0.251,3.41,0.501,15,Tri,Fiber,Double,PLA
238,0.254,3.46,0.507,15,Tri,Fiber,Double,PLA
240,0.257,3.49,0.513,15,Tri,Fiber,Double,PLA
243,0.26,3.53,0.52,15,Tri,Fiber,Double,PLA
246,0.263,3.57,0.526,15,Tri,Fiber,Double,PLA
249,0.266,3.61,0.532,15,Tri,Fiber,Double,PLA
251,0.269,3.65,0.538,15,Tri,Fiber,Double,PLA
254,0.272,3.68,0.544,15,Tri,Fiber,Double,PLA
256,0.275,3.72,0.55,15,Tri,Fiber,Double,PLA
259,0.278,3.76,0.557,15,Tri,Fiber,Double,PLA
262,0.281,3.8,0.563,15,Tri,Fiber,Double,PLA
264,0.284,3.84,0.569,15,Tri,Fiber,Double,PLA
267,0.288,3.87,0.575,15,Tri,Fiber,Double,PLA
270,0.291,3.91,0.581,15,Tri,Fiber,Double,PLA
272,0.294,3.95,0.587,15,Tri,Fiber,Double,PLA
275,0.297,3.99,0.593,15,Tri,Fiber,Double,PLA
277,0.3,4.03,0.6,15,Tri,Fiber,Double,PLA
280,0.303,4.07,0.606,15,Tri,Fiber,Double,PLA
282,0.306,4.1,0.612,15,Tri,Fiber,Double,PLA
285,0.309,4.13,0.618,15,Tri,Fiber,Double,PLA
287,0.312,4.17,0.624,15,Tri,Fiber,Double,PLA
290,0.315,4.21,0.631,15,Tri,Fiber,Double,PLA
293,0.318,4.25,0.637,15,Tri,Fiber,Double,PLA
295,0.321,4.28,0.643,15,Tri,Fiber,Double,PLA
298,0.324,4.32,0.649,15,Tri,Fiber,Double,PLA
300,0.328,4.36,0.655,15,Tri,Fiber,Double,PLA
303,0.331,4.4,0.661,15,Tri,Fiber,Double,PLA
305,0.334,4.43,0.667,15,Tri,Fiber,Double,PLA
308,0.337,4.47,0.674,15,Tri,Fiber,Double,PLA
311,0.34,4.51,0.68,15,Tri,Fiber,Double,PLA
313,0.343,4.54,0.686,15,Tri,Fiber,Double,PLA
316,0.346,4.58,0.692,15,Tri,Fiber,Double,PLA
318,0.349,4.62,0.698,15,Tri,Fiber,Double,PLA
320,0.352,4.65,0.704,15,Tri,Fiber,Double,PLA
323,0.355,4.69,0.711,15,Tri,Fiber,Double,PLA
325,0.358,4.72,0.717,15,Tri,Fiber,Double,PLA
328,0.361,4.76,0.723,15,Tri,Fiber,Double,PLA
331,0.365,4.8,0.729,15,Tri,Fiber,Double,PLA
333,0.368,4.84,0.735,15,Tri,Fiber,Double,PLA
336,0.371,4.87,0.741,15,Tri,Fiber,Double,PLA
338,0.374,4.91,0.747,15,Tri,Fiber,Double,PLA
340,0.377,4.94,0.754,15,Tri,Fiber,Double,PLA
343,0.38,4.98,0.76,15,Tri,Fiber,Double,PLA
345,0.383,5.01,0.766,15,Tri,Fiber,Double,PLA
348,0.386,5.05,0.772,15,Tri,Fiber,Double,PLA
350,0.389,5.09,0.778,15,Tri,Fiber,Double,PLA
353,0.392,5.13,0.784,15,Tri,Fiber,Double,PLA
355,0.395,5.16,0.791,15,Tri,Fiber,Double,PLA
358,0.398,5.19,0.796,15,Tri,Fiber,Double,PLA
360,0.401,5.23,0.803,15,Tri,Fiber,Double,PLA
363,0.404,5.27,0.809,15,Tri,Fiber,Double,PLA
365,0.407,5.3,0.815,15,Tri,Fiber,Double,PLA
367,0.41,5.33,0.821,15,Tri,Fiber,Double,PLA
370,0.413,5.37,0.827,15,Tri,Fiber,Double,PLA
372,0.416,5.4,0.833,15,Tri,Fiber,Double,PLA
375,0.42,5.44,0.839,15,Tri,Fiber,Double,PLA
377,0.423,5.48,0.845,15,Tri,Fiber,Double,PLA
380,0.426,5.51,0.851,15,Tri,Fiber,Double,PLA
382,0.429,5.54,0.858,15,Tri,Fiber,Double,PLA
385,0.432,5.58,0.864,15,Tri,Fiber,Double,PLA
387,0.435,5.61,0.87,15,Tri,Fiber,Double,PLA
389,0.438,5.65,0.876,15,Tri,Fiber,Double,PLA
392,0.441,5.69,0.882,15,Tri,Fiber,Double,PLA
394,0.444,5.72,0.888,15,Tri,Fiber,Double,PLA
397,0.447,5.76,0.895,15,Tri,Fiber,Double,PLA
399,0.45,5.79,0.901,15,Tri,Fiber,Double,PLA
402,0.453,5.83,0.907,15,Tri,Fiber,Double,PLA
404,0.457,5.86,0.913,15,Tri,Fiber,Double,PLA
406,0.46,5.89,0.919,15,Tri,Fiber,Double,PLA
408,0.463,5.92,0.925,15,Tri,Fiber,Double,PLA
411,0.466,5.96,0.931,15,Tri,Fiber,Double,PLA
413,0.469,6,0.938,15,Tri,Fiber,Double,PLA
415,0.472,6.03,0.944,15,Tri,Fiber,Double,PLA
418,0.475,6.06,0.95,15,Tri,Fiber,Double,PLA
420,0.478,6.1,0.956,15,Tri,Fiber,Double,PLA
422,0.481,6.13,0.962,15,Tri,Fiber,Double,PLA
425,0.484,6.17,0.969,15,Tri,Fiber,Double,PLA
427,0.487,6.2,0.974,15,Tri,Fiber,Double,PLA
429,0.49,6.23,0.981,15,Tri,Fiber,Double,PLA
432,0.494,6.27,0.987,15,Tri,Fiber,Double,PLA
434,0.497,6.3,0.993,15,Tri,Fiber,Double,PLA
436,0.5,6.33,0.999,15,Tri,Fiber,Double,PLA
439,0.503,6.37,1.01,15,Tri,Fiber,Double,PLA
441,0.506,6.4,1.01,15,Tri,Fiber,Double,PLA
443,0.509,6.43,1.02,15,Tri,Fiber,Double,PLA
445,0.512,6.46,1.02,15,Tri,Fiber,Double,PLA
447,0.515,6.49,1.03,15,Tri,Fiber,Double,PLA
450,0.518,6.52,1.04,15,Tri,Fiber,Double,PLA
452,0.521,6.56,1.04,15,Tri,Fiber,Double,PLA
454,0.524,6.59,1.05,15,Tri,Fiber,Double,PLA
456,0.527,6.62,1.05,15,Tri,Fiber,Double,PLA
458,0.531,6.65,1.06,15,Tri,Fiber,Double,PLA
461,0.534,6.69,1.07,15,Tri,Fiber,Double,PLA
463,0.537,6.72,1.07,15,Tri,Fiber,Double,PLA
465,0.54,6.75,1.08,15,Tri,Fiber,Double,PLA
467,0.543,6.78,1.09,15,Tri,Fiber,Double,PLA
470,0.546,6.82,1.09,15,Tri,Fiber,Double,PLA
472,0.549,6.85,1.1,15,Tri,Fiber,Double,PLA
474,0.552,6.88,1.1,15,Tri,Fiber,Double,PLA
476,0.555,6.91,1.11,15,Tri,Fiber,Double,PLA
478,0.558,6.94,1.12,15,Tri,Fiber,Double,PLA
481,0.561,6.97,1.12,15,Tri,Fiber,Double,PLA
483,0.564,7.01,1.13,15,Tri,Fiber,Double,PLA
485,0.567,7.04,1.13,15,Tri,Fiber,Double,PLA
487,0.57,7.07,1.14,15,Tri,Fiber,Double,PLA
489,0.574,7.1,1.15,15,Tri,Fiber,Double,PLA
491,0.577,7.13,1.15,15,Tri,Fiber,Double,PLA
494,0.58,7.17,1.16,15,Tri,Fiber,Double,PLA
496,0.583,7.2,1.17,15,Tri,Fiber,Double,PLA
498,0.586,7.23,1.17,15,Tri,Fiber,Double,PLA
500,0.589,7.26,1.18,15,Tri,Fiber,Double,PLA
502,0.592,7.29,1.18,15,Tri,Fiber,Double,PLA
505,0.595,7.32,1.19,15,Tri,Fiber,Double,PLA
507,0.598,7.36,1.2,15,Tri,Fiber,Double,PLA
509,0.601,7.39,1.2,15,Tri,Fiber,Double,PLA
511,0.604,7.42,1.21,15,Tri,Fiber,Double,PLA
513,0.607,7.45,1.21,15,Tri,Fiber,Double,PLA
515,0.611,7.48,1.22,15,Tri,Fiber,Double,PLA
517,0.614,7.51,1.23,15,Tri,Fiber,Double,PLA
520,0.617,7.55,1.23,15,Tri,Fiber,Double,PLA
522,0.62,7.57,1.24,15,Tri,Fiber,Double,PLA
524,0.623,7.6,1.25,15,Tri,Fiber,Double,PLA
526,0.626,7.64,1.25,15,Tri,Fiber,Double,PLA
528,0.629,7.67,1.26,15,Tri,Fiber,Double,PLA
530,0.632,7.7,1.26,15,Tri,Fiber,Double,PLA
533,0.635,7.73,1.27,15,Tri,Fiber,Double,PLA
535,0.638,7.76,1.28,15,Tri,Fiber,Double,PLA
537,0.641,7.79,1.28,15,Tri,Fiber,Double,PLA
539,0.644,7.82,1.29,15,Tri,Fiber,Double,PLA
541,0.647,7.85,1.29,15,Tri,Fiber,Double,PLA
543,0.651,7.89,1.3,15,Tri,Fiber,Double,PLA
546,0.654,7.92,1.31,15,Tri,Fiber,Double,PLA
548,0.657,7.95,1.31,15,Tri,Fiber,Double,PLA
