Force (N),Position (mm),Stress (MPa),Strain (%),Infill%,Infill Type,Mesh Type,Number of mesh layer,Base Material
52.1,0.0452,0.729,0.0905,30,Hex,Without Mesh,Zero,PLA
53.8,0.0467,0.752,0.0934,30,Hex,Without Mesh,Zero,PLA
55.5,0.0484,0.776,0.0968,30,Hex,Without Mesh,Zero,PLA
57.4,0.05,0.803,0.1,30,Hex,Without Mesh,Zero,PLA
59.5,0.0515,0.832,0.103,30,Hex,Without Mesh,Zero,PLA
61.2,0.053,0.857,0.106,30,Hex,Without Mesh,Zero,PLA
62.7,0.0546,0.877,0.109,30,Hex,Without Mesh,Zero,PLA
64.3,0.0562,0.899,0.112,30,Hex,Without Mesh,Zero,PLA
66.4,0.0578,0.928,0.116,30,Hex,Without Mesh,Zero,PLA
68,0.0593,0.951,0.119,30,Hex,Without Mesh,Zero,PLA
69.8,0.0609,0.977,0.122,30,Hex,Without Mesh,Zero,PLA
71.9,0.0626,1.01,0.125,30,Hex,Without Mesh,Zero,PLA
75.7,0.0656,1.06,0.131,30,Hex,Without Mesh,Zero,PLA
75.2,0.0658,1.05,0.132,30,Hex,Without Mesh,Zero,PLA
77.4,0.0673,1.08,0.135,30,Hex,Without Mesh,Zero,PLA
79.2,0.0689,1.11,0.138,30,Hex,Without Mesh,Zero,PLA
81,0.0705,1.13,0.141,30,Hex,Without Mesh,Zero,PLA
82.6,0.0721,1.16,0.144,30,Hex,Without Mesh,Zero,PLA
84.5,0.0737,1.18,0.147,30,Hex,Without Mesh,Zero,PLA
86.3,0.0754,1.21,0.151,30,Hex,Without Mesh,Zero,PLA
88,0.077,1.23,0.154,30,Hex,Without Mesh,Zero,PLA
90.2,0.0785,1.26,0.157,30,Hex,Without Mesh,Zero,PLA
91.6,0.08,1.28,0.16,30,Hex,Without Mesh,Zero,PLA
93.4,0.0816,1.31,0.163,30,Hex,Without Mesh,Zero,PLA
95.1,0.0833,1.33,0.167,30,Hex,Without Mesh,Zero,PLA
96.8,0.0849,1.35,0.17,30,Hex,Without Mesh,Zero,PLA
98.7,0.0864,1.38,0.173,30,Hex,Without Mesh,Zero,PLA
101,0.088,1.41,0.176,30,Hex,Without Mesh,Zero,PLA
102,0.0895,1.43,0.179,30,Hex,Without Mesh,Zero,PLA
104,0.0911,1.45,0.182,30,Hex,Without Mesh,Zero,PLA
106,0.0927,1.48,0.185,30,Hex,Without Mesh,Zero,PLA
107,0.0943,1.5,0.189,30,Hex,Without Mesh,Zero,PLA
109,0.0958,1.53,0.192,30,Hex,Without Mesh,Zero,PLA
111,0.0974,1.55,0.195,30,Hex,Without Mesh,Zero,PLA
112,0.099,1.57,0.198,30,Hex,Without Mesh,Zero,PLA
114,0.101,1.6,0.201,30,Hex,Without Mesh,Zero,PLA
116,0.102,1.63,0.204,30,Hex,Without Mesh,Zero,PLA
118,0.104,1.65,0.207,30,Hex,Without Mesh,Zero,PLA
120,0.105,1.68,0.211,30,Hex,Without Mesh,Zero,PLA
121,0.107,1.7,0.214,30,Hex,Without Mesh,Zero,PLA
123,0.108,1.72,0.217,30,Hex,Without Mesh,Zero,PLA
125,0.11,1.75,0.22,30,Hex,Without Mesh,Zero,PLA
127,0.112,1.77,0.223,30,Hex,Without Mesh,Zero,PLA
128,0.113,1.79,0.227,30,Hex,Without Mesh,Zero,PLA
130,0.115,1.82,0.23,30,Hex,Without Mesh,Zero,PLA
132,0.116,1.84,0.233,30,Hex,Without Mesh,Zero,PLA
133,0.118,1.86,0.236,30,Hex,Without Mesh,Zero,PLA
135,0.12,1.89,0.239,30,Hex,Without Mesh,Zero,PLA
137,0.121,1.91,0.242,30,Hex,Without Mesh,Zero,PLA
139,0.123,1.94,0.245,30,Hex,Without Mesh,Zero,PLA
140,0.124,1.96,0.248,30,Hex,Without Mesh,Zero,PLA
142,0.126,1.99,0.252,30,Hex,Without Mesh,Zero,PLA
143,0.127,2,0.255,30,Hex,Without Mesh,Zero,PLA
145,0.129,2.02,0.258,30,Hex,Without Mesh,Zero,PLA
