Force (N),Position (mm),Stress (MPa),Strain (%),Infill%,Infill Type,Mesh Type,Number of mesh layer,Base Material
156,0.165,2.26,0.329,15,Hex,Fiber,Double,PLA
158,0.167,2.3,0.334,15,Hex,Fiber,Double,PLA
160,0.169,2.33,0.339,15,Hex,Fiber,Double,PLA
162,0.172,2.36,0.344,15,Hex,Fiber,Double,PLA
165,0.174,2.39,0.348,15,Hex,Fiber,Double,PLA
167,0.177,2.42,0.353,15,Hex,Fiber,Double,PLA
169,0.179,2.45,0.358,15,Hex,Fiber,Double,PLA
171,0.182,2.48,0.363,15,Hex,Fiber,Double,PLA
173,0.184,2.51,0.368,15,Hex,Fiber,Double,PLA
175,0.186,2.54,0.373,15,Hex,Fiber,Double,PLA
177,0.189,2.57,0.378,15,Hex,Fiber,Double,PLA
179,0.191,2.6,0.383,15,Hex,Fiber,Double,PLA
182,0.194,2.64,0.388,15,Hex,Fiber,Double,PLA
184,0.196,2.66,0.392,15,Hex,Fiber,Double,PLA
186,0.199,2.69,0.397,15,Hex,Fiber,Double,PLA
188,0.201,2.73,0.402,15,Hex,Fiber,Double,PLA
190,0.203,2.76,0.407,15,Hex,Fiber,Double,PLA
192,0.206,2.79,0.412,15,Hex,Fiber,Double,PLA
194,0.208,2.82,0.417,15,Hex,Fiber,Double,PLA
196,0.211,2.85,0.421,15,Hex,Fiber,Double,PLA
198,0.213,2.88,0.426,15,Hex,Fiber,Double,PLA
201,0.216,2.91,0.431,15,Hex,Fiber,Double,PLA
203,0.218,2.94,0.436,15,Hex,Fiber,Double,PLA
205,0.221,2.97,0.441,15,Hex,Fiber,Double,PLA
207,0.223,3,0.446,15,Hex,Fiber,Double,PLA
209,0.225,3.03,0.451,15,Hex,Fiber,Double,PLA
211,0.228,3.06,0.455,15,Hex,Fiber,Double,PLA
213,0.23,3.09,0.46,15,Hex,Fiber,Double,PLA
215,0.233,3.12,0.465,15,Hex,Fiber,Double,PLA
217,0.235,3.15,0.47,15,Hex,Fiber,Double,PLA
219,0.237,3.18,0.475,15,Hex,Fiber,Double,PLA
221,0.24,3.21,0.48,15,Hex,Fiber,Double,PLA
224,0.242,3.24,0.485,15,Hex,Fiber,Double,PLA
226,0.245,3.27,0.49,15,Hex,Fiber,Double,PLA
228,0.247,3.3,0.494,15,Hex,Fiber,Double,PLA
229,0.25,3.33,0.499,15,Hex,Fiber,Double,PLA
232,0.252,3.36,0.504,15,Hex,Fiber,Double,PLA
234,0.255,3.39,0.509,15,Hex,Fiber,Double,PLA
236,0.257,3.42,0.514,15,Hex,Fiber,Double,PLA
238,0.259,3.45,0.519,15,Hex,Fiber,Double,PLA
239,0.262,3.48,0.524,15,Hex,Fiber,Double,PLA
242,0.264,3.51,0.528,15,Hex,Fiber,Double,PLA
244,0.267,3.53,0.533,15,Hex,Fiber,Double,PLA
245,0.269,3.56,0.538,15,Hex,Fiber,Double,PLA
248,0.272,3.59,0.543,15,Hex,Fiber,Double,PLA
249,0.274,3.62,0.548,15,Hex,Fiber,Double,PLA
251,0.276,3.65,0.553,15,Hex,Fiber,Double,PLA
253,0.279,3.68,0.558,15,Hex,Fiber,Double,PLA
255,0.281,3.71,0.563,15,Hex,Fiber,Double,PLA
257,0.284,3.73,0.568,15,Hex,Fiber,Double,PLA
259,0.286,3.76,0.572,15,Hex,Fiber,Double,PLA
261,0.289,3.78,0.577,15,Hex,Fiber,Double,PLA
262,0.291,3.81,0.582,15,Hex,Fiber,Double,PLA
265,0.293,3.84,0.587,15,Hex,Fiber,Double,PLA
266,0.296,3.87,0.592,15,Hex,Fiber,Double,PLA
269,0.298,3.9,0.597,15,Hex,Fiber,Double,PLA
270,0.301,3.92,0.602,15,Hex,Fiber,Double,PLA
272,0.303,3.95,0.606,15,Hex,Fiber,Double,PLA
274,0.306,3.97,0.611,15,Hex,Fiber,Double,PLA
276,0.308,4,0.616,15,Hex,Fiber,Double,PLA
278,0.311,4.03,0.621,15,Hex,Fiber,Double,PLA
279,0.313,4.05,0.626,15,Hex,Fiber,Double,PLA
281,0.315,4.08,0.631,15,Hex,Fiber,Double,PLA
283,0.318,4.11,0.636,15,Hex,Fiber,Double,PLA
284,0.32,4.13,0.641,15,Hex,Fiber,Double,PLA
286,0.323,4.15,0.646,15,Hex,Fiber,Double,PLA
288,0.325,4.18,0.65,15,Hex,Fiber,Double,PLA
290,0.327,4.21,0.655,15,Hex,Fiber,Double,PLA
291,0.33,4.23,0.66,15,Hex,Fiber,Double,PLA
294,0.333,4.26,0.665,15,Hex,Fiber,Double,PLA
295,0.335,4.28,0.67,15,Hex,Fiber,Double,PLA
297,0.337,4.31,0.675,15,Hex,Fiber,Double,PLA
298,0.34,4.33,0.679,15,Hex,Fiber,Double,PLA
300,0.342,4.36,0.684,15,Hex,Fiber,Double,PLA
302,0.345,4.38,0.689,15,Hex,Fiber,Double,PLA
304,0.347,4.41,0.694,15,Hex,Fiber,Double,PLA
306,0.35,4.44,0.699,15,Hex,Fiber,Double,PLA
307,0.352,4.46,0.704,15,Hex,Fiber,Double,PLA
309,0.354,4.49,0.709,15,Hex,Fiber,Double,PLA
311,0.357,4.51,0.714,15,Hex,Fiber,Double,PLA
313,0.359,4.54,0.719,15,Hex,Fiber,Double,PLA
315,0.362,4.57,0.724,15,Hex,Fiber,Double,PLA
316,0.364,4.59,0.728,15,Hex,Fiber,Double,PLA
318,0.366,4.62,0.733,15,Hex,Fiber,Double,PLA
320,0.369,4.64,0.738,15,Hex,Fiber,Double,PLA
322,0.371,4.67,0.743,15,Hex,Fiber,Double,PLA
324,0.374,4.7,0.748,15,Hex,Fiber,Double,PLA
326,0.376,4.73,0.753,15,Hex,Fiber,Double,PLA
328,0.379,4.76,0.757,15,Hex,Fiber,Double,PLA
330,0.381,4.79,0.762,15,Hex,Fiber,Double,PLA
332,0.384,4.81,0.767,15,Hex,Fiber,Double,PLA
334,0.386,4.84,0.772,15,Hex,Fiber,Double,PLA
335,0.388,4.87,0.777,15,Hex,Fiber,Double,PLA
337,0.391,4.9,0.782,15,Hex,Fiber,Double,PLA
339,0.393,4.92,0.786,15,Hex,Fiber,Double,PLA
341,0.396,4.96,0.791,15,Hex,Fiber,Double,PLA
343,0.398,4.98,0.796,15,Hex,Fiber,Double,PLA
345,0.4,5.01,0.801,15,Hex,Fiber,Double,PLA
347,0.403,5.03,0.806,15,Hex,Fiber,Double,PLA
349,0.405,5.06,0.811,15,Hex,Fiber,Double,PLA
351,0.408,5.09,0.815,15,Hex,Fiber,Double,PLA
353,0.41,5.12,0.82,15,Hex,Fiber,Double,PLA
354,0.413,5.14,0.825,15,Hex,Fiber,Double,PLA
356,0.415,5.17,0.83,15,Hex,Fiber,Double,PLA
358,0.417,5.19,0.835,15,Hex,Fiber,Double,PLA
360,0.42,5.22,0.84,15,Hex,Fiber,Double,PLA
362,0.422,5.25,0.844,15,Hex,Fiber,Double,PLA
363,0.425,5.28,0.849,15,Hex,Fiber,Double,PLA
365,0.427,5.3,0.854,15,Hex,Fiber,Double,PLA
367,0.429,5.33,0.859,15,Hex,Fiber,Double,PLA
369,0.432,5.36,0.864,15,Hex,Fiber,Double,PLA
371,0.434,5.38,0.869,15,Hex,Fiber,Double,PLA
373,0.437,5.41,0.874,15,Hex,Fiber,Double,PLA
374,0.439,5.43,0.878,15,Hex,Fiber,Double,PLA
376,0.442,5.46,0.883,15,Hex,Fiber,Double,PLA
378,0.444,5.49,0.888,15,Hex,Fiber,Double,PLA
380,0.447,5.51,0.893,15,Hex,Fiber,Double,PLA
382,0.449,5.54,0.898,15,Hex,Fiber,Double,PLA
384,0.451,5.57,0.903,15,Hex,Fiber,Double,PLA
385,0.454,5.59,0.908,15,Hex,Fiber,Double,PLA
387,0.456,5.62,0.912,15,Hex,Fiber,Double,PLA
389,0.459,5.64,0.918,15,Hex,Fiber,Double,PLA
391,0.461,5.67,0.922,15,Hex,Fiber,Double,PLA
393,0.464,5.7,0.927,15,Hex,Fiber,Double,PLA
394,0.466,5.72,0.932,15,Hex,Fiber,Double,PLA
396,0.468,5.75,0.937,15,Hex,Fiber,Double,PLA
398,0.471,5.77,0.942,15,Hex,Fiber,Double,PLA
400,0.473,5.8,0.947,15,Hex,Fiber,Double,PLA
401,0.476,5.83,0.952,15,Hex,Fiber,Double,PLA
403,0.478,5.85,0.957,15,Hex,Fiber,Double,PLA
405,0.481,5.88,0.961,15,Hex,Fiber,Double,PLA
407,0.483,5.9,0.966,15,Hex,Fiber,Double,PLA
409,0.486,5.93,0.971,15,Hex,Fiber,Double,PLA
410,0.488,5.96,0.976,15,Hex,Fiber,Double,PLA
412,0.491,5.98,0.981,15,Hex,Fiber,Double,PLA
413,0.493,6,0.986,15,Hex,Fiber,Double,PLA
415,0.495,6.03,0.991,15,Hex,Fiber,Double,PLA
417,0.498,6.05,0.996,15,Hex,Fiber,Double,PLA
419,0.5,6.08,1,15,Hex,Fiber,Double,PLA
421,0.503,6.11,1.01,15,Hex,Fiber,Double,PLA
422,0.505,6.12,1.01,15,Hex,Fiber,Double,PLA
