Force (N),Position (mm),Stress (MPa),Strain (%),Infill%,Infill Type,Mesh Type,Number of mesh layer,Base Material
184,0.224,2.67,0.447,15,3D,Fiber,Double,PLA
186,0.227,2.7,0.453,15,3D,Fiber,Double,PLA
188,0.229,2.73,0.459,15,3D,Fiber,Double,PLA
190,0.232,2.76,0.465,15,3D,Fiber,Double,PLA
193,0.235,2.79,0.471,15,3D,Fiber,Double,PLA
195,0.238,2.83,0.477,15,3D,Fiber,Double,PLA
197,0.241,2.86,0.483,15,3D,Fiber,Double,PLA
199,0.244,2.89,0.489,15,3D,Fiber,Double,PLA
202,0.247,2.92,0.495,15,3D,Fiber,Double,PLA
204,0.25,2.95,0.501,15,3D,Fiber,Double,PLA
205,0.253,2.98,0.506,15,3D,Fiber,Double,PLA
208,0.256,3.02,0.512,15,3D,Fiber,Double,PLA
210,0.259,3.05,0.519,15,3D,Fiber,Double,PLA
212,0.262,3.08,0.524,15,3D,Fiber,Double,PLA
214,0.265,3.11,0.53,15,3D,Fiber,Double,PLA
216,0.268,3.13,0.536,15,3D,Fiber,Double,PLA
218,0.271,3.17,0.542,15,3D,Fiber,Double,PLA
220,0.274,3.2,0.548,15,3D,Fiber,Double,PLA
223,0.277,3.23,0.555,15,3D,Fiber,Double,PLA
225,0.28,3.27,0.56,15,3D,Fiber,Double,PLA
227,0.283,3.29,0.566,15,3D,Fiber,Double,PLA
229,0.286,3.32,0.572,15,3D,Fiber,Double,PLA
231,0.289,3.35,0.578,15,3D,Fiber,Double,PLA
233,0.292,3.38,0.584,15,3D,Fiber,Double,PLA
235,0.295,3.41,0.59,15,3D,Fiber,Double,PLA
236,0.298,3.43,0.596,15,3D,Fiber,Double,PLA
240,0.301,3.48,0.602,15,3D,Fiber,Double,PLA
241,0.304,3.5,0.608,15,3D,Fiber,Double,PLA
243,0.307,3.52,0.614,15,3D,Fiber,Double,PLA
245,0.31,3.56,0.62,15,3D,Fiber,Double,PLA
247,0.313,3.59,0.626,15,3D,Fiber,Double,PLA
249,0.316,3.62,0.632,15,3D,Fiber,Double,PLA
251,0.319,3.65,0.638,15,3D,Fiber,Double,PLA
253,0.322,3.68,0.643,15,3D,Fiber,Double,PLA
255,0.325,3.71,0.65,15,3D,Fiber,Double,PLA
257,0.328,3.73,0.656,15,3D,Fiber,Double,PLA
259,0.331,3.77,0.662,15,3D,Fiber,Double,PLA
262,0.334,3.8,0.667,15,3D,Fiber,Double,PLA
263,0.337,3.81,0.673,15,3D,Fiber,Double,PLA
265,0.34,3.85,0.679,15,3D,Fiber,Double,PLA
267,0.343,3.88,0.685,15,3D,Fiber,Double,PLA
269,0.346,3.91,0.691,15,3D,Fiber,Double,PLA
271,0.349,3.94,0.697,15,3D,Fiber,Double,PLA
273,0.352,3.96,0.703,15,3D,Fiber,Double,PLA
276,0.355,4,0.709,15,3D,Fiber,Double,PLA
277,0.358,4.02,0.715,15,3D,Fiber,Double,PLA
279,0.36,4.05,0.721,15,3D,Fiber,Double,PLA
281,0.364,4.08,0.727,15,3D,Fiber,Double,PLA
283,0.367,4.11,0.733,15,3D,Fiber,Double,PLA
285,0.369,4.14,0.739,15,3D,Fiber,Double,PLA
287,0.372,4.17,0.745,15,3D,Fiber,Double,PLA
289,0.375,4.2,0.751,15,3D,Fiber,Double,PLA
291,0.378,4.22,0.757,15,3D,Fiber,Double,PLA
293,0.381,4.26,0.763,15,3D,Fiber,Double,PLA
295,0.384,4.29,0.768,15,3D,Fiber,Double,PLA
297,0.387,4.31,0.774,15,3D,Fiber,Double,PLA
299,0.39,4.34,0.78,15,3D,Fiber,Double,PLA
301,0.393,4.37,0.786,15,3D,Fiber,Double,PLA
303,0.396,4.4,0.792,15,3D,Fiber,Double,PLA
305,0.399,4.43,0.798,15,3D,Fiber,Double,PLA
307,0.402,4.45,0.804,15,3D,Fiber,Double,PLA
309,0.405,4.48,0.81,15,3D,Fiber,Double,PLA
311,0.408,4.51,0.816,15,3D,Fiber,Double,PLA
313,0.411,4.54,0.822,15,3D,Fiber,Double,PLA
315,0.414,4.57,0.828,15,3D,Fiber,Double,PLA
317,0.417,4.6,0.834,15,3D,Fiber,Double,PLA
319,0.42,4.63,0.84,15,3D,Fiber,Double,PLA
321,0.423,4.65,0.846,15,3D,Fiber,Double,PLA
323,0.426,4.68,0.852,15,3D,Fiber,Double,PLA
324,0.429,4.71,0.857,15,3D,Fiber,Double,PLA
327,0.432,4.74,0.864,15,3D,Fiber,Double,PLA
328,0.435,4.77,0.869,15,3D,Fiber,Double,PLA
330,0.438,4.79,0.875,15,3D,Fiber,Double,PLA
332,0.441,4.83,0.881,15,3D,Fiber,Double,PLA
334,0.444,4.85,0.887,15,3D,Fiber,Double,PLA
336,0.447,4.88,0.893,15,3D,Fiber,Double,PLA
338,0.449,4.91,0.899,15,3D,Fiber,Double,PLA
341,0.453,4.94,0.905,15,3D,Fiber,Double,PLA
342,0.456,4.97,0.911,15,3D,Fiber,Double,PLA
344,0.458,4.99,0.917,15,3D,Fiber,Double,PLA
346,0.461,5.02,0.923,15,3D,Fiber,Double,PLA
348,0.465,5.05,0.929,15,3D,Fiber,Double,PLA
350,0.468,5.08,0.935,15,3D,Fiber,Double,PLA
352,0.47,5.11,0.941,15,3D,Fiber,Double,PLA
354,0.473,5.13,0.947,15,3D,Fiber,Double,PLA
355,0.477,5.16,0.953,15,3D,Fiber,Double,PLA
357,0.479,5.19,0.959,15,3D,Fiber,Double,PLA
359,0.483,5.22,0.965,15,3D,Fiber,Double,PLA
361,0.485,5.24,0.971,15,3D,Fiber,Double,PLA
363,0.489,5.27,0.977,15,3D,Fiber,Double,PLA
365,0.492,5.3,0.983,15,3D,Fiber,Double,PLA
367,0.495,5.32,0.989,15,3D,Fiber,Double,PLA
369,0.497,5.35,0.995,15,3D,Fiber,Double,PLA
370,0.5,5.38,1,15,3D,Fiber,Double,PLA
372,0.503,5.4,1.01,15,3D,Fiber,Double,PLA
374,0.506,5.43,1.01,15,3D,Fiber,Double,PLA
376,0.509,5.45,1.02,15,3D,Fiber,Double,PLA
378,0.512,5.48,1.02,15,3D,Fiber,Double,PLA
379,0.515,5.5,1.03,15,3D,Fiber,Double,PLA
382,0.518,5.54,1.04,15,3D,Fiber,Double,PLA
383,0.521,5.56,1.04,15,3D,Fiber,Double,PLA
385,0.524,5.59,1.05,15,3D,Fiber,Double,PLA
387,0.527,5.62,1.05,15,3D,Fiber,Double,PLA
388,0.53,5.63,1.06,15,3D,Fiber,Double,PLA
390,0.533,5.67,1.07,15,3D,Fiber,Double,PLA
392,0.536,5.69,1.07,15,3D,Fiber,Double,PLA
394,0.539,5.72,1.08,15,3D,Fiber,Double,PLA
396,0.542,5.74,1.08,15,3D,Fiber,Double,PLA
398,0.545,5.77,1.09,15,3D,Fiber,Double,PLA
400,0.548,5.8,1.1,15,3D,Fiber,Double,PLA
401,0.551,5.82,1.1,15,3D,Fiber,Double,PLA
403,0.554,5.85,1.11,15,3D,Fiber,Double,PLA
405,0.557,5.88,1.11,15,3D,Fiber,Double,PLA
407,0.56,5.9,1.12,15,3D,Fiber,Double,PLA
408,0.563,5.93,1.13,15,3D,Fiber,Double,PLA
410,0.566,5.95,1.13,15,3D,Fiber,Double,PLA
412,0.569,5.98,1.14,15,3D,Fiber,Double,PLA
414,0.572,6.01,1.14,15,3D,Fiber,Double,PLA
415,0.575,6.03,1.15,15,3D,Fiber,Double,PLA
417,0.578,6.06,1.16,15,3D,Fiber,Double,PLA
420,0.581,6.09,1.16,15,3D,Fiber,Double,PLA
421,0.584,6.11,1.17,15,3D,Fiber,Double,PLA
