Force (N),Position (mm),Stress (MPa),Strain (%),Infill%,Infill Type,Mesh Type,Number of mesh layer,Base Material
86.9,0.104,1.26,0.209,30,3D,Without Mesh,Zero,PLA
88.3,0.106,1.28,0.212,30,3D,Without Mesh,Zero,PLA
89.7,0.108,1.3,0.216,30,3D,Without Mesh,Zero,PLA
91.1,0.11,1.32,0.221,30,3D,Without Mesh,Zero,PLA
92.8,0.112,1.35,0.225,30,3D,Without Mesh,Zero,PLA
94.3,0.114,1.37,0.229,30,3D,Without Mesh,Zero,PLA
95.7,0.116,1.39,0.232,30,3D,Without Mesh,Zero,PLA
96.9,0.118,1.41,0.236,30,3D,Without Mesh,Zero,PLA
98.2,0.12,1.43,0.24,30,3D,Without Mesh,Zero,PLA
99.8,0.122,1.45,0.244,30,3D,Without Mesh,Zero,PLA
101,0.124,1.46,0.248,30,3D,Without Mesh,Zero,PLA
103,0.126,1.49,0.252,30,3D,Without Mesh,Zero,PLA
104,0.128,1.51,0.256,30,3D,Without Mesh,Zero,PLA
105,0.13,1.53,0.26,30,3D,Without Mesh,Zero,PLA
107,0.132,1.55,0.264,30,3D,Without Mesh,Zero,PLA
108,0.134,1.57,0.267,30,3D,Without Mesh,Zero,PLA
109,0.136,1.59,0.272,30,3D,Without Mesh,Zero,PLA
111,0.138,1.61,0.276,30,3D,Without Mesh,Zero,PLA
112,0.14,1.63,0.28,30,3D,Without Mesh,Zero,PLA
113,0.142,1.65,0.283,30,3D,Without Mesh,Zero,PLA
115,0.144,1.67,0.287,30,3D,Without Mesh,Zero,PLA
116,0.146,1.69,0.291,30,3D,Without Mesh,Zero,PLA
118,0.148,1.71,0.295,30,3D,Without Mesh,Zero,PLA
119,0.149,1.72,0.299,30,3D,Without Mesh,Zero,PLA
120,0.151,1.74,0.303,30,3D,Without Mesh,Zero,PLA
121,0.153,1.76,0.307,30,3D,Without Mesh,Zero,PLA
123,0.155,1.78,0.311,30,3D,Without Mesh,Zero,PLA
124,0.157,1.8,0.314,30,3D,Without Mesh,Zero,PLA
125,0.159,1.82,0.318,30,3D,Without Mesh,Zero,PLA
127,0.161,1.85,0.323,30,3D,Without Mesh,Zero,PLA
128,0.163,1.86,0.326,30,3D,Without Mesh,Zero,PLA
129,0.165,1.88,0.33,30,3D,Without Mesh,Zero,PLA
