Force (N),Position (mm),Stress (MPa),Strain (%),Infill%,Infill Type,Mesh Type,Number of mesh layer,Base Material
122,0.143,1.7,0.285,30,3D,Steel,Single,PLA
123,0.145,1.72,0.289,30,3D,Steel,Single,PLA
125,0.147,1.74,0.294,30,3D,Steel,Single,PLA
126,0.149,1.77,0.298,30,3D,Steel,Single,PLA
128,0.151,1.8,0.303,30,3D,Steel,Single,PLA
130,0.153,1.82,0.307,30,3D,Steel,Single,PLA
132,0.155,1.85,0.311,30,3D,Steel,Single,PLA
134,0.157,1.87,0.315,30,3D,Steel,Single,PLA
136,0.16,1.9,0.319,30,3D,Steel,Single,PLA
137,0.162,1.92,0.324,30,3D,Steel,Single,PLA
139,0.164,1.94,0.328,30,3D,Steel,Single,PLA
140,0.166,1.96,0.332,30,3D,Steel,Single,PLA
142,0.168,1.99,0.336,30,3D,Steel,Single,PLA
144,0.17,2.01,0.34,30,3D,Steel,Single,PLA
146,0.172,2.04,0.345,30,3D,Steel,Single,PLA
147,0.175,2.06,0.349,30,3D,Steel,Single,PLA
149,0.177,2.08,0.353,30,3D,Steel,Single,PLA
151,0.179,2.11,0.358,30,3D,Steel,Single,PLA
152,0.181,2.13,0.362,30,3D,Steel,Single,PLA
154,0.183,2.16,0.366,30,3D,Steel,Single,PLA
155,0.185,2.17,0.37,30,3D,Steel,Single,PLA
157,0.187,2.2,0.375,30,3D,Steel,Single,PLA
159,0.189,2.22,0.379,30,3D,Steel,Single,PLA
161,0.192,2.25,0.383,30,3D,Steel,Single,PLA
162,0.194,2.27,0.387,30,3D,Steel,Single,PLA
164,0.196,2.3,0.391,30,3D,Steel,Single,PLA
166,0.198,2.32,0.396,30,3D,Steel,Single,PLA
167,0.2,2.34,0.4,30,3D,Steel,Single,PLA
169,0.202,2.37,0.404,30,3D,Steel,Single,PLA
171,0.204,2.39,0.409,30,3D,Steel,Single,PLA
172,0.206,2.41,0.413,30,3D,Steel,Single,PLA
174,0.208,2.43,0.417,30,3D,Steel,Single,PLA
176,0.211,2.46,0.421,30,3D,Steel,Single,PLA
177,0.213,2.48,0.425,30,3D,Steel,Single,PLA
179,0.215,2.51,0.43,30,3D,Steel,Single,PLA
181,0.217,2.53,0.434,30,3D,Steel,Single,PLA
183,0.219,2.56,0.438,30,3D,Steel,Single,PLA
184,0.221,2.57,0.442,30,3D,Steel,Single,PLA
186,0.223,2.6,0.447,30,3D,Steel,Single,PLA
188,0.226,2.62,0.451,30,3D,Steel,Single,PLA
189,0.228,2.65,0.455,30,3D,Steel,Single,PLA
190,0.23,2.66,0.46,30,3D,Steel,Single,PLA
192,0.232,2.69,0.464,30,3D,Steel,Single,PLA
194,0.234,2.71,0.468,30,3D,Steel,Single,PLA
195,0.236,2.73,0.472,30,3D,Steel,Single,PLA
197,0.238,2.76,0.477,30,3D,Steel,Single,PLA
199,0.24,2.78,0.481,30,3D,Steel,Single,PLA
201,0.243,2.81,0.485,30,3D,Steel,Single,PLA
202,0.245,2.83,0.489,30,3D,Steel,Single,PLA
204,0.247,2.86,0.493,30,3D,Steel,Single,PLA
206,0.249,2.88,0.498,30,3D,Steel,Single,PLA
207,0.251,2.9,0.502,30,3D,Steel,Single,PLA
209,0.253,2.93,0.506,30,3D,Steel,Single,PLA
211,0.255,2.95,0.511,30,3D,Steel,Single,PLA
212,0.257,2.97,0.515,30,3D,Steel,Single,PLA
214,0.259,2.99,0.519,30,3D,Steel,Single,PLA
216,0.262,3.02,0.523,30,3D,Steel,Single,PLA
217,0.264,3.03,0.527,30,3D,Steel,Single,PLA
219,0.266,3.06,0.532,30,3D,Steel,Single,PLA
221,0.268,3.08,0.536,30,3D,Steel,Single,PLA
222,0.27,3.1,0.54,30,3D,Steel,Single,PLA
224,0.272,3.13,0.544,30,3D,Steel,Single,PLA
225,0.274,3.15,0.549,30,3D,Steel,Single,PLA
227,0.277,3.17,0.553,30,3D,Steel,Single,PLA
229,0.279,3.2,0.557,30,3D,Steel,Single,PLA
230,0.281,3.22,0.561,30,3D,Steel,Single,PLA
232,0.283,3.24,0.566,30,3D,Steel,Single,PLA
233,0.285,3.26,0.57,30,3D,Steel,Single,PLA
235,0.287,3.28,0.574,30,3D,Steel,Single,PLA
236,0.289,3.31,0.578,30,3D,Steel,Single,PLA
238,0.291,3.33,0.583,30,3D,Steel,Single,PLA
240,0.293,3.36,0.587,30,3D,Steel,Single,PLA
242,0.296,3.38,0.591,30,3D,Steel,Single,PLA
243,0.298,3.4,0.595,30,3D,Steel,Single,PLA
245,0.3,3.42,0.6,30,3D,Steel,Single,PLA
246,0.302,3.44,0.604,30,3D,Steel,Single,PLA
248,0.304,3.47,0.608,30,3D,Steel,Single,PLA
250,0.306,3.49,0.612,30,3D,Steel,Single,PLA
251,0.308,3.51,0.617,30,3D,Steel,Single,PLA
252,0.31,3.53,0.621,30,3D,Steel,Single,PLA
254,0.312,3.55,0.625,30,3D,Steel,Single,PLA
256,0.315,3.58,0.629,30,3D,Steel,Single,PLA
257,0.317,3.6,0.634,30,3D,Steel,Single,PLA
259,0.319,3.63,0.638,30,3D,Steel,Single,PLA
261,0.321,3.64,0.642,30,3D,Steel,Single,PLA
262,0.323,3.67,0.646,30,3D,Steel,Single,PLA
264,0.325,3.69,0.651,30,3D,Steel,Single,PLA
265,0.327,3.71,0.655,30,3D,Steel,Single,PLA
267,0.33,3.73,0.659,30,3D,Steel,Single,PLA
269,0.332,3.76,0.663,30,3D,Steel,Single,PLA
270,0.334,3.78,0.668,30,3D,Steel,Single,PLA
272,0.336,3.8,0.672,30,3D,Steel,Single,PLA
273,0.338,3.82,0.676,30,3D,Steel,Single,PLA
275,0.34,3.85,0.68,30,3D,Steel,Single,PLA
277,0.342,3.87,0.684,30,3D,Steel,Single,PLA
278,0.344,3.89,0.689,30,3D,Steel,Single,PLA
280,0.347,3.91,0.693,30,3D,Steel,Single,PLA
281,0.349,3.93,0.697,30,3D,Steel,Single,PLA
283,0.351,3.96,0.701,30,3D,Steel,Single,PLA
284,0.353,3.98,0.706,30,3D,Steel,Single,PLA
286,0.355,4,0.71,30,3D,Steel,Single,PLA
288,0.357,4.02,0.715,30,3D,Steel,Single,PLA
289,0.359,4.04,0.719,30,3D,Steel,Single,PLA
290,0.361,4.06,0.723,30,3D,Steel,Single,PLA
292,0.364,4.08,0.727,30,3D,Steel,Single,PLA
294,0.366,4.11,0.731,30,3D,Steel,Single,PLA
295,0.368,4.13,0.736,30,3D,Steel,Single,PLA
297,0.37,4.16,0.74,30,3D,Steel,Single,PLA
299,0.372,4.18,0.744,30,3D,Steel,Single,PLA
300,0.374,4.2,0.748,30,3D,Steel,Single,PLA
302,0.376,4.22,0.753,30,3D,Steel,Single,PLA
303,0.378,4.24,0.757,30,3D,Steel,Single,PLA
305,0.381,4.26,0.761,30,3D,Steel,Single,PLA
306,0.383,4.29,0.765,30,3D,Steel,Single,PLA
308,0.385,4.3,0.77,30,3D,Steel,Single,PLA
309,0.387,4.33,0.774,30,3D,Steel,Single,PLA
311,0.389,4.35,0.778,30,3D,Steel,Single,PLA
312,0.391,4.37,0.782,30,3D,Steel,Single,PLA
314,0.393,4.39,0.786,30,3D,Steel,Single,PLA
316,0.395,4.42,0.791,30,3D,Steel,Single,PLA
317,0.397,4.44,0.795,30,3D,Steel,Single,PLA
318,0.399,4.45,0.799,30,3D,Steel,Single,PLA
320,0.402,4.47,0.803,30,3D,Steel,Single,PLA
322,0.404,4.5,0.807,30,3D,Steel,Single,PLA
323,0.406,4.52,0.812,30,3D,Steel,Single,PLA
325,0.408,4.54,0.816,30,3D,Steel,Single,PLA
325,0.41,4.55,0.82,30,3D,Steel,Single,PLA
328,0.412,4.58,0.824,30,3D,Steel,Single,PLA
329,0.414,4.6,0.828,30,3D,Steel,Single,PLA
330,0.416,4.62,0.832,30,3D,Steel,Single,PLA
332,0.418,4.64,0.837,30,3D,Steel,Single,PLA
333,0.421,4.66,0.841,30,3D,Steel,Single,PLA
335,0.423,4.69,0.845,30,3D,Steel,Single,PLA
336,0.425,4.7,0.849,30,3D,Steel,Single,PLA
338,0.427,4.72,0.854,30,3D,Steel,Single,PLA
339,0.429,4.74,0.858,30,3D,Steel,Single,PLA
341,0.431,4.77,0.862,30,3D,Steel,Single,PLA
342,0.433,4.78,0.867,30,3D,Steel,Single,PLA
344,0.435,4.81,0.871,30,3D,Steel,Single,PLA
