Force (N),Position (mm),Stress (MPa),Strain (%),Infill%,Infill Type,Mesh Type,Number of mesh layer,Base Material
230,0.234,3.33,0.467,30,3D,Steel,Single,PLA
232,0.237,3.37,0.474,30,3D,Steel,Single,PLA
235,0.24,3.41,0.479,30,3D,Steel,Single,PLA
237,0.243,3.45,0.485,30,3D,Steel,Single,PLA
240,0.246,3.48,0.491,30,3D,Steel,Single,PLA
243,0.249,3.52,0.497,30,3D,Steel,Single,PLA
245,0.252,3.56,0.504,30,3D,Steel,Single,PLA
248,0.255,3.6,0.509,30,3D,Steel,Single,PLA
250,0.258,3.63,0.515,30,3D,Steel,Single,PLA
253,0.261,3.67,0.522,30,3D,Steel,Single,PLA
255,0.264,3.71,0.528,30,3D,Steel,Single,PLA
258,0.267,3.74,0.533,30,3D,Steel,Single,PLA
260,0.27,3.78,0.54,30,3D,Steel,Single,PLA
263,0.273,3.81,0.546,30,3D,Steel,Single,PLA
265,0.276,3.85,0.552,30,3D,Steel,Single,PLA
267,0.279,3.88,0.558,30,3D,Steel,Single,PLA
270,0.282,3.92,0.564,30,3D,Steel,Single,PLA
272,0.285,3.95,0.57,30,3D,Steel,Single,PLA
275,0.288,3.99,0.576,30,3D,Steel,Single,PLA
277,0.291,4.03,0.582,30,3D,Steel,Single,PLA
280,0.294,4.06,0.588,30,3D,Steel,Single,PLA
282,0.297,4.1,0.594,30,3D,Steel,Single,PLA
285,0.3,4.13,0.6,30,3D,Steel,Single,PLA
287,0.303,4.17,0.606,30,3D,Steel,Single,PLA
290,0.306,4.2,0.612,30,3D,Steel,Single,PLA
292,0.309,4.24,0.618,30,3D,Steel,Single,PLA
294,0.312,4.27,0.624,30,3D,Steel,Single,PLA
297,0.315,4.31,0.63,30,3D,Steel,Single,PLA
299,0.318,4.34,0.636,30,3D,Steel,Single,PLA
302,0.321,4.38,0.642,30,3D,Steel,Single,PLA
304,0.324,4.41,0.648,30,3D,Steel,Single,PLA
307,0.327,4.45,0.654,30,3D,Steel,Single,PLA
309,0.33,4.49,0.66,30,3D,Steel,Single,PLA
311,0.333,4.52,0.666,30,3D,Steel,Single,PLA
314,0.336,4.55,0.672,30,3D,Steel,Single,PLA
316,0.339,4.59,0.678,30,3D,Steel,Single,PLA
319,0.342,4.63,0.684,30,3D,Steel,Single,PLA
321,0.345,4.66,0.69,30,3D,Steel,Single,PLA
323,0.348,4.69,0.696,30,3D,Steel,Single,PLA
326,0.351,4.73,0.702,30,3D,Steel,Single,PLA
328,0.354,4.76,0.708,30,3D,Steel,Single,PLA
331,0.357,4.8,0.714,30,3D,Steel,Single,PLA
333,0.36,4.83,0.72,30,3D,Steel,Single,PLA
335,0.363,4.87,0.726,30,3D,Steel,Single,PLA
338,0.366,4.9,0.732,30,3D,Steel,Single,PLA
340,0.369,4.93,0.738,30,3D,Steel,Single,PLA
342,0.372,4.97,0.744,30,3D,Steel,Single,PLA
345,0.375,5,0.75,30,3D,Steel,Single,PLA
347,0.378,5.04,0.756,30,3D,Steel,Single,PLA
349,0.381,5.07,0.762,30,3D,Steel,Single,PLA
352,0.384,5.11,0.768,30,3D,Steel,Single,PLA
354,0.387,5.14,0.775,30,3D,Steel,Single,PLA
357,0.39,5.17,0.781,30,3D,Steel,Single,PLA
359,0.393,5.21,0.786,30,3D,Steel,Single,PLA
361,0.396,5.24,0.792,30,3D,Steel,Single,PLA
363,0.399,5.27,0.798,30,3D,Steel,Single,PLA
366,0.402,5.31,0.805,30,3D,Steel,Single,PLA
368,0.405,5.34,0.811,30,3D,Steel,Single,PLA
370,0.408,5.37,0.816,30,3D,Steel,Single,PLA
372,0.411,5.41,0.823,30,3D,Steel,Single,PLA
375,0.414,5.44,0.829,30,3D,Steel,Single,PLA
377,0.417,5.47,0.835,30,3D,Steel,Single,PLA
379,0.42,5.51,0.841,30,3D,Steel,Single,PLA
382,0.423,5.54,0.847,30,3D,Steel,Single,PLA
384,0.426,5.57,0.853,30,3D,Steel,Single,PLA
386,0.429,5.6,0.859,30,3D,Steel,Single,PLA
388,0.432,5.63,0.865,30,3D,Steel,Single,PLA
390,0.435,5.67,0.871,30,3D,Steel,Single,PLA
392,0.438,5.69,0.877,30,3D,Steel,Single,PLA
395,0.441,5.73,0.883,30,3D,Steel,Single,PLA
397,0.444,5.76,0.889,30,3D,Steel,Single,PLA
399,0.447,5.8,0.895,30,3D,Steel,Single,PLA
402,0.45,5.83,0.901,30,3D,Steel,Single,PLA
404,0.453,5.86,0.907,30,3D,Steel,Single,PLA
406,0.456,5.89,0.913,30,3D,Steel,Single,PLA
408,0.459,5.92,0.919,30,3D,Steel,Single,PLA
411,0.462,5.96,0.925,30,3D,Steel,Single,PLA
413,0.466,5.99,0.931,30,3D,Steel,Single,PLA
415,0.469,6.02,0.937,30,3D,Steel,Single,PLA
417,0.471,6.05,0.943,30,3D,Steel,Single,PLA
419,0.474,6.08,0.949,30,3D,Steel,Single,PLA
421,0.478,6.11,0.955,30,3D,Steel,Single,PLA
423,0.481,6.15,0.961,30,3D,Steel,Single,PLA
426,0.484,6.18,0.967,30,3D,Steel,Single,PLA
428,0.487,6.21,0.973,30,3D,Steel,Single,PLA
430,0.49,6.24,0.979,30,3D,Steel,Single,PLA
432,0.493,6.27,0.985,30,3D,Steel,Single,PLA
434,0.496,6.3,0.991,30,3D,Steel,Single,PLA
436,0.499,6.33,0.997,30,3D,Steel,Single,PLA
438,0.502,6.36,1,30,3D,Steel,Single,PLA
441,0.505,6.4,1.01,30,3D,Steel,Single,PLA
443,0.508,6.43,1.02,30,3D,Steel,Single,PLA
444,0.511,6.45,1.02,30,3D,Steel,Single,PLA
447,0.514,6.49,1.03,30,3D,Steel,Single,PLA
449,0.517,6.52,1.03,30,3D,Steel,Single,PLA
451,0.52,6.55,1.04,30,3D,Steel,Single,PLA
453,0.523,6.58,1.05,30,3D,Steel,Single,PLA
455,0.526,6.61,1.05,30,3D,Steel,Single,PLA
458,0.529,6.64,1.06,30,3D,Steel,Single,PLA
460,0.532,6.67,1.06,30,3D,Steel,Single,PLA
462,0.535,6.7,1.07,30,3D,Steel,Single,PLA
464,0.538,6.73,1.08,30,3D,Steel,Single,PLA
466,0.541,6.76,1.08,30,3D,Steel,Single,PLA
468,0.544,6.79,1.09,30,3D,Steel,Single,PLA
470,0.547,6.83,1.09,30,3D,Steel,Single,PLA
472,0.55,6.86,1.1,30,3D,Steel,Single,PLA
474,0.553,6.88,1.11,30,3D,Steel,Single,PLA
476,0.556,6.92,1.11,30,3D,Steel,Single,PLA
478,0.559,6.94,1.12,30,3D,Steel,Single,PLA
480,0.562,6.97,1.12,30,3D,Steel,Single,PLA
483,0.565,7,1.13,30,3D,Steel,Single,PLA
485,0.568,7.04,1.14,30,3D,Steel,Single,PLA
486,0.571,7.06,1.14,30,3D,Steel,Single,PLA
488,0.574,7.09,1.15,30,3D,Steel,Single,PLA
491,0.577,7.12,1.15,30,3D,Steel,Single,PLA
493,0.58,7.15,1.16,30,3D,Steel,Single,PLA
495,0.583,7.18,1.17,30,3D,Steel,Single,PLA
497,0.586,7.21,1.17,30,3D,Steel,Single,PLA
499,0.589,7.24,1.18,30,3D,Steel,Single,PLA
501,0.592,7.27,1.18,30,3D,Steel,Single,PLA
503,0.595,7.3,1.19,30,3D,Steel,Single,PLA
505,0.598,7.33,1.2,30,3D,Steel,Single,PLA
507,0.601,7.36,1.2,30,3D,Steel,Single,PLA
509,0.604,7.39,1.21,30,3D,Steel,Single,PLA
512,0.607,7.43,1.21,30,3D,Steel,Single,PLA
513,0.61,7.45,1.22,30,3D,Steel,Single,PLA
515,0.613,7.48,1.23,30,3D,Steel,Single,PLA
518,0.616,7.51,1.23,30,3D,Steel,Single,PLA
520,0.619,7.54,1.24,30,3D,Steel,Single,PLA
522,0.622,7.58,1.24,30,3D,Steel,Single,PLA
