Force (N),Position (mm),Stress (MPa),Strain (%),Infill%,Infill Type,Mesh Type,Number of mesh layer,Base Material
114,0.141,1.72,0.281,30,Hex,Without Mesh,Zero,PLA
115,0.143,1.74,0.287,30,Hex,Without Mesh,Zero,PLA
117,0.146,1.76,0.291,30,Hex,Without Mesh,Zero,PLA
118,0.148,1.79,0.296,30,Hex,Without Mesh,Zero,PLA
120,0.151,1.81,0.301,30,Hex,Without Mesh,Zero,PLA
122,0.153,1.83,0.306,30,Hex,Without Mesh,Zero,PLA
123,0.155,1.86,0.311,30,Hex,Without Mesh,Zero,PLA
125,0.158,1.88,0.316,30,Hex,Without Mesh,Zero,PLA
127,0.161,1.91,0.321,30,Hex,Without Mesh,Zero,PLA
128,0.163,1.93,0.326,30,Hex,Without Mesh,Zero,PLA
130,0.165,1.96,0.331,30,Hex,Without Mesh,Zero,PLA
131,0.168,1.98,0.336,30,Hex,Without Mesh,Zero,PLA
133,0.17,2.01,0.341,30,Hex,Without Mesh,Zero,PLA
134,0.173,2.03,0.346,30,Hex,Without Mesh,Zero,PLA
136,0.175,2.05,0.35,30,Hex,Without Mesh,Zero,PLA
138,0.178,2.08,0.355,30,Hex,Without Mesh,Zero,PLA
139,0.18,2.1,0.36,30,Hex,Without Mesh,Zero,PLA
142,0.183,2.14,0.365,30,Hex,Without Mesh,Zero,PLA
143,0.185,2.16,0.37,30,Hex,Without Mesh,Zero,PLA
145,0.187,2.19,0.375,30,Hex,Without Mesh,Zero,PLA
147,0.19,2.22,0.38,30,Hex,Without Mesh,Zero,PLA
149,0.192,2.24,0.385,30,Hex,Without Mesh,Zero,PLA
150,0.195,2.27,0.39,30,Hex,Without Mesh,Zero,PLA
152,0.197,2.3,0.395,30,Hex,Without Mesh,Zero,PLA
154,0.2,2.33,0.4,30,Hex,Without Mesh,Zero,PLA
156,0.202,2.36,0.404,30,Hex,Without Mesh,Zero,PLA
158,0.204,2.38,0.409,30,Hex,Without Mesh,Zero,PLA
160,0.207,2.41,0.414,30,Hex,Without Mesh,Zero,PLA
162,0.21,2.44,0.419,30,Hex,Without Mesh,Zero,PLA
163,0.212,2.46,0.424,30,Hex,Without Mesh,Zero,PLA
166,0.214,2.5,0.429,30,Hex,Without Mesh,Zero,PLA
167,0.217,2.51,0.433,30,Hex,Without Mesh,Zero,PLA
169,0.219,2.55,0.438,30,Hex,Without Mesh,Zero,PLA
171,0.222,2.57,0.443,30,Hex,Without Mesh,Zero,PLA
173,0.224,2.61,0.448,30,Hex,Without Mesh,Zero,PLA
174,0.227,2.63,0.453,30,Hex,Without Mesh,Zero,PLA
176,0.229,2.66,0.458,30,Hex,Without Mesh,Zero,PLA
178,0.231,2.69,0.463,30,Hex,Without Mesh,Zero,PLA
180,0.234,2.71,0.468,30,Hex,Without Mesh,Zero,PLA
182,0.236,2.74,0.473,30,Hex,Without Mesh,Zero,PLA
183,0.239,2.77,0.478,30,Hex,Without Mesh,Zero,PLA
185,0.241,2.8,0.482,30,Hex,Without Mesh,Zero,PLA
187,0.244,2.82,0.487,30,Hex,Without Mesh,Zero,PLA
189,0.246,2.85,0.492,30,Hex,Without Mesh,Zero,PLA
191,0.249,2.88,0.497,30,Hex,Without Mesh,Zero,PLA
192,0.251,2.9,0.502,30,Hex,Without Mesh,Zero,PLA
195,0.254,2.93,0.507,30,Hex,Without Mesh,Zero,PLA
196,0.256,2.96,0.512,30,Hex,Without Mesh,Zero,PLA
198,0.259,2.99,0.517,30,Hex,Without Mesh,Zero,PLA
200,0.261,3.02,0.522,30,Hex,Without Mesh,Zero,PLA
202,0.263,3.04,0.527,30,Hex,Without Mesh,Zero,PLA
203,0.266,3.07,0.532,30,Hex,Without Mesh,Zero,PLA
205,0.268,3.09,0.536,30,Hex,Without Mesh,Zero,PLA
207,0.271,3.12,0.541,30,Hex,Without Mesh,Zero,PLA
209,0.273,3.15,0.546,30,Hex,Without Mesh,Zero,PLA
210,0.276,3.17,0.551,30,Hex,Without Mesh,Zero,PLA
212,0.278,3.2,0.556,30,Hex,Without Mesh,Zero,PLA
214,0.28,3.23,0.561,30,Hex,Without Mesh,Zero,PLA
216,0.283,3.26,0.566,30,Hex,Without Mesh,Zero,PLA
218,0.285,3.28,0.571,30,Hex,Without Mesh,Zero,PLA
220,0.288,3.32,0.576,30,Hex,Without Mesh,Zero,PLA
221,0.29,3.34,0.581,30,Hex,Without Mesh,Zero,PLA
223,0.293,3.37,0.586,30,Hex,Without Mesh,Zero,PLA
225,0.295,3.39,0.59,30,Hex,Without Mesh,Zero,PLA
227,0.298,3.42,0.595,30,Hex,Without Mesh,Zero,PLA
228,0.3,3.45,0.6,30,Hex,Without Mesh,Zero,PLA
231,0.303,3.48,0.605,30,Hex,Without Mesh,Zero,PLA
232,0.305,3.5,0.61,30,Hex,Without Mesh,Zero,PLA
234,0.307,3.53,0.615,30,Hex,Without Mesh,Zero,PLA
235,0.31,3.55,0.62,30,Hex,Without Mesh,Zero,PLA
