Force (N),Position (mm),Stress (MPa),Strain (%),InFill %,InFill Type,Mesh Type,Number of mesh layers,Base Material
928,2,13.5,3.99,15,Triangular,Without mesh,0,PLA
928,2,13.5,4,15,Triangular,Without mesh,0,PLA
929,2,13.5,4,15,Triangular,Without mesh,0,PLA
928,2,13.5,4.01,15,Triangular,Without mesh,0,PLA
928,2.01,13.5,4.01,15,Triangular,Without mesh,0,PLA
928,2.01,13.5,4.02,15,Triangular,Without mesh,0,PLA
928,2.01,13.5,4.02,15,Triangular,Without mesh,0,PLA
929,2.01,13.5,4.02,15,Triangular,Without mesh,0,PLA
928,2.01,13.5,4.03,15,Triangular,Without mesh,0,PLA
929,2.02,13.5,4.03,15,Triangular,Without mesh,0,PLA
928,2.02,13.5,4.04,15,Triangular,Without mesh,0,PLA
929,2.02,13.5,4.04,15,Triangular,Without mesh,0,PLA
929,2.02,13.5,4.05,15,Triangular,Without mesh,0,PLA
929,2.03,13.5,4.05,15,Triangular,Without mesh,0,PLA
929,2.03,13.5,4.06,15,Triangular,Without mesh,0,PLA
929,2.03,13.5,4.06,15,Triangular,Without mesh,0,PLA
929,2.03,13.5,4.07,15,Triangular,Without mesh,0,PLA
929,2.04,13.5,4.07,15,Triangular,Without mesh,0,PLA
929,2.04,13.5,4.08,15,Triangular,Without mesh,0,PLA
929,2.04,13.5,4.08,15,Triangular,Without mesh,0,PLA
929,2.04,13.5,4.09,15,Triangular,Without mesh,0,PLA
929,2.05,13.5,4.09,15,Triangular,Without mesh,0,PLA
930,2.05,13.5,4.1,15,Triangular,Without mesh,0,PLA
929,2.05,13.5,4.1,15,Triangular,Without mesh,0,PLA
930,2.05,13.5,4.1,15,Triangular,Without mesh,0,PLA
929,2.05,13.5,4.11,15,Triangular,Without mesh,0,PLA
930,2.06,13.5,4.11,15,Triangular,Without mesh,0,PLA
929,2.06,13.5,4.12,15,Triangular,Without mesh,0,PLA
930,2.06,13.5,4.12,15,Triangular,Without mesh,0,PLA
929,2.06,13.5,4.13,15,Triangular,Without mesh,0,PLA
929,2.07,13.5,4.13,15,Triangular,Without mesh,0,PLA
929,2.07,13.5,4.14,15,Triangular,Without mesh,0,PLA
929,2.07,13.5,4.14,15,Triangular,Without mesh,0,PLA
929,2.07,13.5,4.15,15,Triangular,Without mesh,0,PLA
929,2.08,13.5,4.15,15,Triangular,Without mesh,0,PLA
929,2.08,13.5,4.16,15,Triangular,Without mesh,0,PLA
929,2.08,13.5,4.16,15,Triangular,Without mesh,0,PLA
929,2.08,13.5,4.17,15,Triangular,Without mesh,0,PLA
929,2.09,13.5,4.17,15,Triangular,Without mesh,0,PLA
929,2.09,13.5,4.17,15,Triangular,Without mesh,0,PLA
929,2.09,13.5,4.18,15,Triangular,Without mesh,0,PLA
929,2.09,13.5,4.18,15,Triangular,Without mesh,0,PLA
929,2.09,13.5,4.19,15,Triangular,Without mesh,0,PLA
929,2.1,13.5,4.19,15,Triangular,Without mesh,0,PLA
929,2.1,13.5,4.2,15,Triangular,Without mesh,0,PLA
929,2.1,13.5,4.2,15,Triangular,Without mesh,0,PLA
928,2.1,13.5,4.21,15,Triangular,Without mesh,0,PLA
929,2.11,13.5,4.21,15,Triangular,Without mesh,0,PLA
929,2.11,13.5,4.22,15,Triangular,Without mesh,0,PLA
929,2.11,13.5,4.22,15,Triangular,Without mesh,0,PLA
928,2.11,13.5,4.23,15,Triangular,Without mesh,0,PLA
928,2.12,13.5,4.23,15,Triangular,Without mesh,0,PLA
928,2.12,13.5,4.24,15,Triangular,Without mesh,0,PLA
928,2.12,13.5,4.24,15,Triangular,Without mesh,0,PLA
928,2.12,13.5,4.24,15,Triangular,Without mesh,0,PLA
928,2.12,13.5,4.25,15,Triangular,Without mesh,0,PLA
927,2.13,13.5,4.25,15,Triangular,Without mesh,0,PLA
928,2.13,13.5,4.26,15,Triangular,Without mesh,0,PLA
928,2.13,13.5,4.26,15,Triangular,Without mesh,0,PLA
928,2.13,13.5,4.27,15,Triangular,Without mesh,0,PLA
927,2.14,13.5,4.27,15,Triangular,Without mesh,0,PLA
927,2.14,13.5,4.28,15,Triangular,Without mesh,0,PLA
927,2.14,13.5,4.28,15,Triangular,Without mesh,0,PLA
927,2.14,13.5,4.29,15,Triangular,Without mesh,0,PLA
927,2.15,13.5,4.29,15,Triangular,Without mesh,0,PLA
927,2.15,13.5,4.3,15,Triangular,Without mesh,0,PLA
927,2.15,13.5,4.3,15,Triangular,Without mesh,0,PLA
927,2.15,13.4,4.31,15,Triangular,Without mesh,0,PLA
926,2.16,13.4,4.31,15,Triangular,Without mesh,0,PLA
926,2.16,13.4,4.32,15,Triangular,Without mesh,0,PLA
926,2.16,13.4,4.32,15,Triangular,Without mesh,0,PLA
926,2.16,13.4,4.32,15,Triangular,Without mesh,0,PLA
926,2.16,13.4,4.33,15,Triangular,Without mesh,0,PLA
926,2.17,13.4,4.33,15,Triangular,Without mesh,0,PLA
926,2.17,13.4,4.34,15,Triangular,Without mesh,0,PLA
925,2.17,13.4,4.34,15,Triangular,Without mesh,0,PLA
925,2.17,13.4,4.35,15,Triangular,Without mesh,0,PLA
925,2.18,13.4,4.35,15,Triangular,Without mesh,0,PLA
925,2.18,13.4,4.36,15,Triangular,Without mesh,0,PLA
925,2.18,13.4,4.36,15,Triangular,Without mesh,0,PLA
924,2.18,13.4,4.37,15,Triangular,Without mesh,0,PLA
924,2.19,13.4,4.37,15,Triangular,Without mesh,0,PLA
923,2.19,13.4,4.38,15,Triangular,Without mesh,0,PLA
924,2.19,13.4,4.38,15,Triangular,Without mesh,0,PLA
923,2.19,13.4,4.39,15,Triangular,Without mesh,0,PLA
923,2.2,13.4,4.39,15,Triangular,Without mesh,0,PLA
922,2.2,13.4,4.39,15,Triangular,Without mesh,0,PLA
923,2.2,13.4,4.4,15,Triangular,Without mesh,0,PLA
922,2.2,13.4,4.4,15,Triangular,Without mesh,0,PLA
922,2.2,13.4,4.41,15,Triangular,Without mesh,0,PLA
921,2.21,13.4,4.41,15,Triangular,Without mesh,0,PLA
921,2.21,13.4,4.42,15,Triangular,Without mesh,0,PLA
921,2.21,13.4,4.42,15,Triangular,Without mesh,0,PLA
921,2.21,13.4,4.43,15,Triangular,Without mesh,0,PLA
920,2.22,13.4,4.43,15,Triangular,Without mesh,0,PLA
920,2.22,13.3,4.44,15,Triangular,Without mesh,0,PLA
919,2.22,13.3,4.44,15,Triangular,Without mesh,0,PLA
919,2.22,13.3,4.45,15,Triangular,Without mesh,0,PLA
919,2.23,13.3,4.45,15,Triangular,Without mesh,0,PLA
918,2.23,13.3,4.46,15,Triangular,Without mesh,0,PLA
918,2.23,13.3,4.46,15,Triangular,Without mesh,0,PLA
917,2.23,13.3,4.46,15,Triangular,Without mesh,0,PLA
917,2.23,13.3,4.47,15,Triangular,Without mesh,0,PLA
917,2.24,13.3,4.47,15,Triangular,Without mesh,0,PLA
916,2.24,13.3,4.48,15,Triangular,Without mesh,0,PLA
916,2.24,13.3,4.48,15,Triangular,Without mesh,0,PLA
915,2.24,13.3,4.49,15,Triangular,Without mesh,0,PLA
915,2.25,13.3,4.49,15,Triangular,Without mesh,0,PLA
914,2.25,13.3,4.5,15,Triangular,Without mesh,0,PLA
913,2.25,13.3,4.5,15,Triangular,Without mesh,0,PLA
913,2.25,13.3,4.51,15,Triangular,Without mesh,0,PLA
912,2.26,13.2,4.51,15,Triangular,Without mesh,0,PLA
911,2.26,13.2,4.52,15,Triangular,Without mesh,0,PLA
910,2.26,13.2,4.52,15,Triangular,Without mesh,0,PLA
909,2.26,13.2,4.53,15,Triangular,Without mesh,0,PLA
908,2.27,13.2,4.53,15,Triangular,Without mesh,0,PLA
905,2.27,13.1,4.54,15,Triangular,Without mesh,0,PLA
900,2.27,13.1,4.54,15,Triangular,Without mesh,0,PLA
-153,2.27,-2.22,4.55,15,Triangular,Without mesh,0,PLA
-138,2.28,-2,4.56,15,Triangular,Without mesh,0,PLA
