Force (N),Position (mm),Stress (MPa),Strain (%),Infill%,Infill Type,Mesh Type,Number of mesh layer,Base Material
181,0.188,2.58,0.376,45,3D,Fiber,Double,PLA
184,0.19,2.62,0.381,45,3D,Fiber,Double,PLA
186,0.193,2.65,0.386,45,3D,Fiber,Double,PLA
189,0.196,2.69,0.391,45,3D,Fiber,Double,PLA
191,0.198,2.72,0.397,45,3D,Fiber,Double,PLA
194,0.201,2.76,0.402,45,3D,Fiber,Double,PLA
196,0.204,2.79,0.407,45,3D,Fiber,Double,PLA
199,0.206,2.83,0.412,45,3D,Fiber,Double,PLA
201,0.209,2.86,0.418,45,3D,Fiber,Double,PLA
203,0.211,2.9,0.423,45,3D,Fiber,Double,PLA
206,0.214,2.93,0.428,45,3D,Fiber,Double,PLA
208,0.217,2.96,0.434,45,3D,Fiber,Double,PLA
211,0.219,3,0.439,45,3D,Fiber,Double,PLA
213,0.222,3.04,0.444,45,3D,Fiber,Double,PLA
215,0.225,3.06,0.449,45,3D,Fiber,Double,PLA
218,0.227,3.1,0.455,45,3D,Fiber,Double,PLA
220,0.23,3.14,0.46,45,3D,Fiber,Double,PLA
222,0.233,3.17,0.465,45,3D,Fiber,Double,PLA
225,0.235,3.2,0.47,45,3D,Fiber,Double,PLA
227,0.238,3.23,0.476,45,3D,Fiber,Double,PLA
230,0.241,3.27,0.481,45,3D,Fiber,Double,PLA
232,0.243,3.31,0.486,45,3D,Fiber,Double,PLA
234,0.246,3.34,0.492,45,3D,Fiber,Double,PLA
237,0.248,3.37,0.497,45,3D,Fiber,Double,PLA
239,0.251,3.4,0.502,45,3D,Fiber,Double,PLA
241,0.254,3.44,0.508,45,3D,Fiber,Double,PLA
244,0.256,3.47,0.513,45,3D,Fiber,Double,PLA
246,0.259,3.5,0.518,45,3D,Fiber,Double,PLA
249,0.262,3.55,0.523,45,3D,Fiber,Double,PLA
250,0.264,3.57,0.528,45,3D,Fiber,Double,PLA
253,0.267,3.6,0.534,45,3D,Fiber,Double,PLA
255,0.27,3.64,0.539,45,3D,Fiber,Double,PLA
